#{"t_start": 1783987835.5238616, "env_id": "Atom-v1"}
r,l,t
47.529284,98,0.670547
-0.049476,80,0.75613
39.156314,97,0.855942
13.612941,85,1.033875
14.515363,82,1.19737
74.30232,148,1.35896
48.880961,107,1.468703
13.075126,78,1.556503
24.530892,91,1.653681
15.03755,86,1.750404
32.135257,107,2.229283
37.710189,97,2.337582
41.633949,100,2.538037
-5.572719,69,2.654684
35.228524,96,2.753377
20.192049,104,2.87071
87.850646,187,3.180113
47.792361,106,3.34986
11.371906,78,3.433908
25.346948,82,3.520756
7.417581,76,3.969318
29.135939,91,4.079099
4.881369,73,4.158376
53.162433,105,4.273378
55.926508,115,4.393494
13.413343,89,4.49338
50.144921,115,4.615977
39.546484,97,4.725096
1.542805,80,4.807655
12.763657,81,4.898573
44.258775,98,5.001328
15.995379,86,5.460684
15.577575,82,5.553206
24.31962,102,5.660071
38.242421,121,5.792437
14.045545,83,5.881471
17.721862,112,6.006045
25.287959,90,6.099504
16.419443,82,6.189725
7.128855,90,6.285553
8.10747,77,6.372081
-6.769463,77,6.453764
54.219826,119,6.951384
80.920568,158,7.119947
48.942232,114,7.246241
47.265235,113,7.363194
14.68187,73,7.447839
15.662942,97,7.549793
23.008163,86,7.647312
6.791766,89,7.742682
27.300645,94,7.879406
50.393427,122,8.114386
13.263831,85,8.576104
24.041235,90,8.674519
12.653656,91,8.770692
4.980688,82,8.859551
48.883122,108,8.978833
-9.910757,65,9.054907
89.27835,157,9.225121
50.454069,111,9.345264
28.735329,102,9.451572
43.497326,112,9.577684
-1.611258,71,9.652327
46.146704,128,10.155707
11.158874,79,10.240289
44.917331,109,10.36016
33.252293,111,10.482703
21.852807,96,10.590797
20.101924,88,10.684468
17.548463,83,10.774725
0.613977,69,10.855384
-2.493521,69,10.929564
-4.008786,65,11.001904
29.512881,107,11.117528
45.041404,100,11.589262
27.299237,92,11.694177
81.007939,135,11.849132
29.310918,101,11.961649
88.503535,157,12.133564
17.32198,81,12.220654
35.406742,111,12.344909
31.079642,129,12.480537
14.769209,75,12.563792
80.295267,140,13.079025
10.368843,77,13.166679
100.859835,173,13.349347
9.367088,102,13.467432
15.940838,87,13.574153
59.379146,128,13.71352
1.466905,70,13.79331
51.263953,113,13.917852
-7.560626,81,14.010557
72.139532,130,14.514593
22.872877,88,14.60875
85.192915,183,14.80874
60.036345,127,14.952027
20.421707,91,15.051018
10.17892,72,15.135274
2.805345,86,15.22604
30.651863,88,15.322078
11.111036,74,20.017407
39.748536,113,20.146573
8.036308,87,20.240502
36.120358,125,20.743207
43.984839,109,20.861015
23.273377,82,20.954643
12.776215,87,21.049622
32.827862,111,21.179859
51.360205,111,21.304435
