#{"t_start": 1782241208.99074, "env_id": "Atom-v1"}
r,l,t
31.402078,102,0.240657
52.73085,191,0.408139
31.788301,98,0.494544
32.808897,120,0.599231
31.920247,104,0.690284
50.002756,152,0.823996
21.087815,96,0.907035
21.288096,68,0.966095
49.251866,167,1.110924
22.181835,84,1.179066
36.461504,112,1.271208
32.397322,100,1.353269
28.344132,140,1.467004
24.937365,95,1.543725
30.940155,95,1.620226
44.270949,150,1.740539
20.096993,92,1.815359
22.830323,70,1.872097
49.404506,185,2.348696
20.740099,66,2.40146
41.438499,129,2.504982
31.576716,111,2.593224
31.755549,100,2.674154
47.041714,146,2.792782
27.008886,83,2.861449
21.095778,67,2.916189
24.758478,75,2.97637
25.128836,75,3.0373
36.610231,121,3.138114
25.418255,98,3.219803
23.943618,78,3.284196
25.61971,79,3.347248
20.126383,64,3.397356
32.373779,98,3.47559
42.559597,158,3.602121
25.377668,89,3.684421
30.383406,115,3.77739
28.907755,83,3.843401
30.633786,97,4.269945
33.498629,109,4.356174
27.796691,83,4.421413
35.787088,118,4.515753
24.195709,84,4.582903
28.210271,113,4.674037
31.449757,87,4.743027
35.17141,109,4.830692
29.503819,90,4.900998
32.397192,157,5.025171
31.246536,127,5.12811
35.18932,112,5.2189
38.566181,111,5.307631
33.21769,99,5.386849
24.234763,80,5.450944
31.425556,99,5.530654
44.932186,139,5.64306
19.62409,70,5.699843
26.188294,83,5.76697
43.183324,132,6.221731
45.149881,140,6.334453
29.345339,100,6.416276
26.802993,76,6.477916
39.695582,142,6.590844
20.607541,73,6.649567
54.120995,186,6.798434
30.879903,105,6.882294
34.053975,108,6.968859
26.751251,89,7.039698
25.181166,79,7.102631
30.804222,91,7.175385
35.412619,100,7.256052
23.103709,94,7.330755
37.891198,120,7.425931
18.528524,92,7.500642
31.778008,100,7.581672
45.616199,149,7.703489
25.820521,90,7.775478
37.012135,120,8.192294
29.700654,107,8.278109
35.491331,113,8.367929
28.798237,114,8.459402
28.39339,91,8.531447
26.506698,85,8.598674
28.120034,88,8.668234
35.650164,111,8.756145
35.888577,119,8.849599
23.941802,140,8.960599
17.441532,61,9.010063
31.60474,96,9.087041
36.066794,105,9.169923
37.078282,102,9.251391
30.980465,107,9.336381
31.193978,96,9.412737
36.078168,114,9.50446
27.743859,87,9.573596
32.298979,96,12.844993
36.54972,119,12.948749
38.49313,107,13.307614
33.460397,101,13.396111
29.593598,107,13.48947
25.986702,86,13.56489
28.24954,83,13.636152
40.844533,124,13.746605
23.62445,82,13.818866
26.670306,82,13.891267
37.864429,125,14.000403
29.893057,112,14.100253
40.080465,178,14.245922
31.970589,97,14.323418
30.852095,98,14.402333
31.320882,141,14.515203
33.512405,104,14.598568
44.995264,153,14.72217
44.285184,125,14.821192
31.40699,92,14.895476
36.069777,111,14.985432
26.314827,79,15.322746
28.648662,96,15.399273
33.131251,98,15.478869
27.427234,96,15.556252
20.599337,74,15.616395
27.898512,90,15.689891
33.131713,112,15.780519
33.430083,112,15.872454
23.876718,75,15.932743
34.232779,98,16.012272
24.785455,87,16.082153
26.057601,81,16.148543
34.649441,112,16.23877
44.339236,143,16.352729
33.623722,102,16.435474
28.20183,101,16.517254
35.911062,98,16.597367
20.538521,86,16.667032
36.454295,117,16.761326
34.679066,105,16.848126
33.100519,104,16.932561
42.644292,129,17.310975
23.319194,86,17.378767
30.691799,105,17.462801
33.163719,101,17.543744
27.809479,103,17.626567
31.052035,108,17.712294
27.617871,82,17.777762
37.816419,106,17.863607
31.369874,107,17.948782
34.734344,118,18.043451
37.464489,119,18.139508
42.224211,141,18.251091
39.889319,124,18.349869
29.91968,83,18.415987
42.215359,126,18.5157
34.150484,98,18.593829
36.913094,120,18.689793
45.754617,143,18.806456
26.353166,101,19.158266
33.055233,93,19.233121
40.775117,144,19.34902
26.630392,90,19.420928
31.89635,109,19.50794
41.700826,129,19.61024
29.962173,103,19.692514
35.428251,109,19.779608
31.864674,97,19.859016
22.183017,125,19.962458
26.189053,79,20.02647
39.207553,125,20.128126
35.701671,108,20.214802
27.035451,100,20.295361
33.908629,129,20.399508
37.251544,101,20.480556
28.65757,84,20.549128
35.893027,104,20.631751
37.337007,112,20.722973
40.856961,126,21.096269
35.16507,100,21.176804
31.819562,100,21.257023
40.826812,143,21.371984
63.413841,223,21.550376
23.615482,80,21.614701
28.234567,100,21.69378
52.084262,164,21.826875
26.346125,107,21.914052
42.381992,156,22.040352
35.367161,97,22.11935
24.32533,161,22.250813
36.7405,111,25.556891
24.431299,82,25.62887
38.273234,124,25.730289
25.437738,92,25.804961
27.100725,83,25.872489
41.423812,130,26.285023
25.019246,74,26.348675
41.670337,147,26.478649
23.676927,82,26.551416
25.602588,85,26.625819
40.518527,140,26.748861
22.374267,83,26.824558
32.146733,112,26.916999
38.87262,111,27.008603
35.74682,104,27.094979
36.471731,126,27.200024
39.25168,144,27.319549
21.400637,102,27.403506
29.981869,91,27.479085
15.001143,88,27.552179
27.239966,77,27.616067
27.802274,142,27.735151
29.468308,96,27.815048
35.307155,122,27.91658
30.566672,98,28.322108
44.534824,155,28.444304
26.120861,93,28.517779
26.933071,84,28.585044
39.569928,130,28.689
22.005093,86,28.757108
29.383589,101,28.837
35.488483,110,28.925365
24.568107,102,29.005141
24.107359,106,29.089659
25.332071,96,29.166301
22.466542,79,29.229888
28.490414,89,29.300548
33.180187,120,29.396744
37.583687,142,29.509037
31.878932,102,29.590924
26.3238,78,29.652768
24.038848,86,29.723359
28.870811,85,29.791145
29.369202,107,29.876084
37.826706,122,30.361483
26.9715,87,30.431594
28.061235,85,30.499609
32.893697,125,30.600805
26.334653,114,30.693137
39.247492,104,30.776414
30.626577,102,30.858496
30.219279,93,30.933412
33.317641,104,31.016922
34.481282,123,31.11668
34.295984,131,31.221612
