#{"t_start": 1782238849.6496882, "env_id": "Atom-v1"}
r,l,t
30.806774,93,0.264439
23.940084,67,0.319015
28.185073,80,0.383769
29.801172,91,0.495707
24.838059,73,0.554853
26.620843,76,0.61504
31.584973,96,0.730268
25.857727,86,0.799972
31.281339,93,0.874813
22.948546,102,0.995945
26.026603,82,1.061546
27.427555,79,1.124395
32.090464,106,1.248431
34.934012,121,1.345895
29.49868,87,1.452505
31.357982,162,1.579699
40.97828,123,1.715536
32.371113,95,1.790222
39.515427,128,1.940487
30.180791,95,2.016939
37.390024,126,2.155191
35.877739,156,2.277212
28.776612,96,2.392783
29.019013,96,2.468259
30.411146,100,2.546527
27.3754,87,2.655188
55.687554,178,2.798065
36.281168,122,2.935452
34.6196,99,3.016139
27.660652,89,3.129524
29.367689,105,3.212698
23.985661,76,3.272258
39.870721,126,3.411528
25.979587,89,3.480902
30.486058,89,3.551352
24.610914,83,3.656019
29.181005,86,3.72383
39.695718,120,3.858883
32.184561,104,3.940637
18.296752,117,4.033826
29.663331,101,4.15596
35.347616,105,4.239692
27.680908,89,4.351743
34.931901,114,4.442674
29.085486,99,4.521815
26.903636,80,4.624825
31.764677,85,4.693285
43.686865,138,4.859197
53.190577,167,4.991693
30.351281,82,5.112795
52.506897,166,5.244761
31.025711,87,5.354435
41.486609,118,5.448868
29.405573,95,5.524802
26.661992,81,5.628373
31.918053,95,5.703215
25.886724,87,5.772488
66.351996,269,6.029278
31.23441,112,6.162169
36.687025,109,6.256552
35.40605,121,6.413312
26.068564,84,6.483639
21.626219,78,6.546493
43.130787,134,6.692851
39.631504,128,6.794905
35.521407,107,6.919282
31.231479,106,7.004632
25.024677,77,7.106101
31.325173,106,7.192885
27.651594,80,7.257041
26.429923,96,7.389277
48.234629,182,7.535017
39.423087,132,7.678581
35.965864,157,7.841674
33.021768,98,7.919227
23.591082,105,8.002295
29.708939,133,8.149214
33.154435,104,8.232428
25.923868,86,8.343184
42.845896,127,8.444585
25.893748,131,8.589538
34.908175,109,8.6754
44.794123,156,8.840528
30.810986,108,8.92507
26.378079,128,9.066285
38.021845,111,9.155852
28.004987,107,9.241945
24.240114,89,9.3556
28.908314,87,9.428163
24.36464,78,9.490095
29.98766,95,9.603052
38.883162,134,9.708778
35.19842,97,13.025829
24.365502,78,13.090059
30.344544,83,13.156817
34.314355,151,13.316599
52.729678,170,13.490979
58.190354,227,13.67132
27.78312,94,13.785931
30.378296,105,13.868505
54.008937,180,14.052825
26.912859,77,14.115324
49.949318,216,14.330564
24.549176,82,14.397406
22.555513,81,14.498954
34.717045,114,14.591307
39.526377,124,14.73147
25.763586,88,14.801304
26.155475,127,14.902715
28.98252,86,15.01154
17.894852,58,15.059103
29.26534,77,15.123051
30.517657,109,15.25228
27.089832,83,15.318952
34.599554,105,15.403604
39.47344,170,15.586036
29.791919,127,15.73219
23.601547,82,15.801468
45.534744,164,15.980905
37.136457,113,16.078781
29.807669,90,16.158217
36.7238,132,16.311847
27.99604,94,16.395001
36.106816,138,16.559612
21.764254,68,16.6152
28.017442,83,16.68334
23.209876,80,16.784004
32.731508,106,16.872258
25.480912,82,16.940232
49.049411,168,17.110768
16.982487,81,17.176179
35.650411,116,17.303979
46.646678,137,17.416372
38.043912,139,17.563249
25.763012,83,17.628696
28.468473,88,17.733281
20.217255,65,17.784868
31.402896,114,17.875696
27.022584,85,17.978592
20.698411,70,18.034583
29.401153,92,18.108004
18.058347,67,18.197123
31.21146,93,18.270875
30.718735,105,18.354843
29.672744,95,18.465012
20.842239,80,18.527852
