#{"t_start": 1782241014.5558064, "env_id": "Atom-v1"}
r,l,t
35.391776,117,0.314462
31.212101,121,0.421133
26.96398,83,0.646592
61.486687,195,0.97382
25.834336,77,1.042165
21.970604,109,1.138481
23.1873,89,1.345094
30.077754,92,1.423333
32.388038,102,1.509483
21.35706,75,1.720467
31.94559,88,1.79881
28.114063,94,1.880641
27.498042,93,2.091073
28.777994,84,2.15767
43.538018,143,2.407766
43.78641,128,2.512786
33.05308,98,2.592603
29.679967,82,2.800013
33.964042,106,2.892766
26.435593,83,3.100539
25.925987,79,3.165196
29.13405,91,3.241714
31.996082,131,3.494195
32.178434,97,3.572754
42.68023,125,3.806033
29.726671,93,3.879976
32.176959,107,3.966773
26.548689,88,4.205164
54.844786,170,4.339567
28.651757,89,4.559814
38.860774,140,4.671963
32.810981,114,4.916987
24.505035,84,4.984633
28.581416,93,5.058342
21.721884,79,5.271038
35.02554,112,5.360215
33.024488,96,5.632102
39.257164,137,5.742082
25.047112,83,5.809731
30.383368,100,6.079015
28.294765,91,6.151754
33.873061,104,6.449782
40.320128,127,6.561235
27.332336,117,6.656523
21.677228,75,6.926971
43.868878,132,7.035449
23.079894,89,7.291696
20.598028,65,7.34292
31.914839,110,7.432136
44.626246,141,7.772795
32.538425,109,7.862239
34.113443,99,8.113837
44.651528,147,8.234613
32.64553,121,8.528105
24.608116,82,8.593347
38.884875,117,8.858285
34.300346,99,8.938049
26.315022,86,9.00675
25.535867,82,9.222677
60.985997,200,9.380212
40.230189,120,9.679927
29.992296,96,9.755866
35.961887,120,10.042945
25.468032,77,10.104498
39.725964,138,10.214948
24.423309,76,10.443461
24.744254,84,10.511219
29.529712,89,10.582935
36.352052,148,10.872197
52.545492,175,11.17064
37.109611,115,11.264481
35.398198,128,11.595205
30.126642,97,11.675502
26.834889,85,11.744565
25.871323,97,11.973996
40.396308,99,12.053513
26.685787,88,12.125301
29.593645,109,12.390093
26.322974,73,12.449356
32.253602,96,12.694297
30.057944,103,12.779572
28.099232,94,12.857724
33.633649,106,13.099135
31.502733,104,13.182491
27.751098,87,13.447064
29.374804,137,13.556686
42.554606,142,13.827665
34.995339,104,13.909602
36.982716,122,14.009745
35.583505,127,14.242739
40.259584,139,14.485752
39.91541,118,14.581763
31.61971,104,14.664982
36.294183,130,18.1782
22.719882,76,18.243664
29.249417,85,18.446243
27.033166,90,18.519156
26.698526,83,18.586832
27.866344,95,18.819422
33.828489,124,18.929264
41.626627,123,19.193918
33.63451,95,19.276966
44.951405,139,19.401186
35.056159,112,19.631584
41.428022,139,19.746657
32.540574,99,19.960926
27.922541,81,20.026398
29.40016,83,20.094808
30.479314,95,20.311018
23.2115,77,20.373811
38.961403,119,20.608516
33.325077,102,20.694944
25.452129,91,20.771458
33.188321,108,21.004838
20.470625,68,21.065653
26.561653,86,21.138679
32.803962,96,21.357216
41.730574,170,21.50651
29.865647,96,21.724435
37.991165,112,21.816707
27.583957,80,22.019907
32.817024,111,22.110601
40.166781,120,22.206406
18.425225,74,22.398503
45.347034,140,22.510725
21.558246,74,22.703261
27.160443,73,22.762631
34.522938,117,22.855471
45.854676,160,23.115799
41.587028,129,23.219876
36.215158,137,23.462608
27.500651,105,23.546658
24.356757,79,23.741802
26.611181,84,23.80829
27.882038,91,23.880256
31.860734,96,24.088547
32.054753,128,24.192823
27.202315,84,24.396851
44.007654,172,24.543287
28.889234,84,24.746591
52.155232,162,24.88627
28.781521,92,25.092243
51.992036,161,25.223039
31.264616,91,25.431902
56.034033,198,25.593918
33.13914,111,25.819459
32.761606,97,25.900675
39.784117,120,26.138559
36.122255,112,26.233825
39.989129,141,26.4891
36.247639,116,26.585266
30.183601,94,26.66788
32.29,99,26.884954
47.47627,149,27.004106
29.139927,82,27.202518
46.291573,140,27.315378
26.277864,92,27.523448
28.265476,91,27.596609
24.236781,115,27.690553
51.164104,155,27.95351
35.182449,115,28.046649
27.140858,93,28.255038
31.825132,101,28.336671
36.959438,118,28.564707
26.529306,83,28.631783
28.191308,102,28.714396
40.824866,133,28.954067
21.467976,74,29.014385
30.903044,122,29.2437
31.374991,95,29.320893
30.318193,101,29.401885
30.789832,103,29.617408
32.400048,111,29.706191
43.061769,136,29.948402
43.781595,145,30.065692
32.050271,98,30.278989
40.112517,137,30.389562
26.048685,103,30.60747
45.629338,150,30.730224
20.179114,85,30.934982
40.776995,128,31.042426
33.091799,97,31.258529
38.701281,122,31.358921
16.801458,63,31.410989
26.466906,74,31.606934
