#{"t_start": 1782239252.2836065, "env_id": "Atom-v1"}
r,l,t
32.928026,106,0.301705
22.848962,77,0.369935
22.33241,79,0.438419
32.24514,107,0.532815
44.343069,130,0.647484
28.366524,89,0.726568
30.477056,93,0.807388
34.300849,118,0.909343
34.948617,106,1.002461
26.783238,87,1.076922
29.295418,96,1.155798
25.777003,93,1.228828
34.633605,112,1.316202
32.468617,112,1.405215
32.219148,108,1.490673
34.438881,112,1.579614
47.070079,162,1.709056
24.574411,88,1.778833
24.260885,83,1.844567
23.324184,90,1.915455
33.737799,138,2.342774
32.298349,119,2.437159
30.562856,103,2.519186
35.156595,122,2.615887
21.914619,73,2.673536
30.536752,92,2.747506
52.022072,215,2.921485
30.041761,94,2.996529
34.495208,109,3.084752
45.558815,143,3.200752
27.506839,85,3.270439
31.103591,99,3.350276
45.260392,150,3.473092
28.293219,83,3.539456
38.559235,130,3.645291
21.517744,92,3.720706
30.254652,159,3.8486
31.967787,89,4.28501
46.593344,213,4.455422
29.3965,96,4.531951
27.497459,91,4.603963
28.058067,94,4.677303
29.143697,94,4.75087
27.263432,83,4.818411
31.356188,91,4.89069
40.06425,145,5.00571
29.958282,102,5.086337
37.211771,110,5.173451
25.77775,89,5.243541
30.975285,100,5.32324
34.209239,93,5.395926
38.239865,111,5.482205
40.323914,138,5.593228
26.699907,85,5.66147
28.799909,82,5.72638
34.260783,128,5.829464
43.874627,154,6.285038
18.110788,70,6.340958
28.57543,98,6.41837
29.574244,97,6.496971
19.370423,68,6.551184
35.307997,112,6.658958
35.529984,112,6.750121
33.208038,98,6.829997
22.904674,71,6.887376
25.155875,73,6.946671
49.927773,159,7.076238
35.441675,111,7.16766
31.630629,109,7.255426
37.044754,124,7.357131
35.360887,157,7.483381
14.001554,70,7.541166
36.178645,103,7.626346
24.156188,78,7.689282
29.497488,93,7.76495
26.815342,85,7.834234
30.371454,93,8.221458
32.920619,106,8.307162
27.676516,91,8.380543
32.989768,102,8.463517
30.310614,102,8.545214
32.97848,105,8.63039
40.013674,143,8.745321
29.678651,78,8.808223
22.311181,69,8.863862
27.718517,90,8.936247
21.738498,77,8.998465
35.801526,101,9.080011
19.071879,66,9.132794
37.048546,113,9.223998
33.287602,97,9.301952
23.118293,71,9.358644
25.888611,90,9.431165
29.33126,95,9.50845
28.112804,95,9.585729
22.692523,80,9.651104
42.954484,126,12.949345
41.179926,139,13.400439
35.559275,125,13.511878
21.720057,88,13.596397
29.647905,98,13.686701
31.492756,120,13.795087
41.543116,181,13.956486
35.31998,132,14.073686
61.631192,190,14.237994
30.243191,97,14.316488
33.910263,107,14.402913
29.251353,116,14.497871
21.46389,84,14.565674
35.389187,128,14.670988
