#{"t_start": 1784244776.214392, "env_id": "Atom-v1"}
r,l,t
1090.4822,122,2.409376
944.321632,110,2.573463
916.041265,135,2.783598
420.834603,78,2.902044
736.552241,73,3.012202
950.8891,114,3.187357
761.692276,81,3.310444
992.296376,95,3.450699
982.885928,116,3.625398
750.462516,109,3.954775
1184.990922,239,4.32878
1088.782702,130,4.521428
904.027898,93,4.661648
1055.935382,108,4.821587
717.277292,94,4.95942
745.915514,90,5.095453
1036.035696,111,5.258683
920.057116,112,5.425115
780.016688,132,5.779116
754.956455,92,5.913846
519.28439,96,6.058395
836.91839,102,6.211726
992.557194,118,6.397289
936.697917,96,6.542476
1052.184173,121,6.739742
856.404147,97,6.898454
1075.666329,113,7.068429
875.02433,91,7.207828
825.992522,77,7.480082
