#{"t_start": 1782241760.210566, "env_id": "Atom-v1"}
r,l,t
20.332264,69,0.283474
33.183083,126,0.39677
34.548819,111,0.496926
21.890447,100,0.591699
31.709893,107,0.965203
31.864525,101,1.054362
33.998656,125,1.15438
35.502716,110,1.244318
15.248746,75,1.304976
16.632728,58,1.351402
37.773798,115,1.591496
28.79912,90,1.665048
53.29605,191,1.819251
32.934914,103,1.902849
32.175937,95,2.114338
31.806534,104,2.197946
26.540308,97,2.274843
32.549594,98,2.352682
28.415367,126,2.451978
29.661764,107,2.66942
28.236199,102,2.751512
25.330109,89,2.822304
37.020335,110,2.911637
37.849543,138,3.021258
30.881678,85,3.221995
28.786869,88,3.292156
32.583115,105,3.375274
25.379542,78,3.438028
14.265338,143,3.553864
29.490007,99,3.778167
44.106565,127,3.89184
33.982878,110,3.98706
33.03068,106,4.082641
38.977416,124,4.359587
38.471452,122,4.456174
26.887868,98,4.533973
37.405412,132,4.639174
15.288784,132,4.745353
46.326538,176,5.018428
26.050273,77,5.080033
30.991928,95,5.155691
24.525455,77,5.218874
39.161673,122,5.449271
18.109435,65,5.501012
22.819527,64,5.551587
30.715333,103,5.635394
27.289976,95,5.7109
55.19557,177,5.985694
27.022023,82,6.05144
30.758014,96,6.127479
36.022701,126,6.228066
30.364869,95,6.303663
32.947051,107,6.52282
32.310891,110,6.612976
29.878544,102,6.698703
29.260242,86,6.7667
46.704868,152,6.887258
40.055946,101,7.100974
39.972728,132,7.205996
34.463585,132,7.312793
33.481871,110,7.401138
36.756636,105,7.617483
24.187265,100,7.696013
28.094021,82,7.760497
26.864621,107,7.846699
36.717215,110,7.93369
31.379676,105,8.149861
37.224117,116,8.242287
31.194111,99,8.321627
47.060786,196,8.481172
35.547441,120,8.710239
30.12701,107,8.796016
31.866421,110,8.885129
33.416319,110,8.973797
32.877553,127,9.075455
35.414293,178,9.355411
25.278182,78,9.420302
36.640514,111,9.511889
25.551538,90,9.586632
35.003814,105,9.819124
33.231439,111,9.920009
33.057255,106,10.012628
45.043553,153,10.14387
27.835811,80,10.207081
35.665818,112,10.428827
36.601533,107,10.515623
31.092191,108,10.602308
42.400649,160,10.73163
34.044733,107,10.952628
38.728884,109,11.04011
27.160919,81,11.105415
32.208511,97,14.424169
44.815844,136,14.548183
24.680853,76,14.748365
28.746093,87,14.820136
35.685571,139,14.952513
33.767598,109,15.061309
33.533343,109,15.166952
25.564901,88,15.418723
19.333174,88,15.501886
37.403828,112,15.602902
31.073011,97,15.687573
25.691743,81,15.752374
40.759578,111,15.9758
32.530853,118,16.06967
31.942951,114,16.162294
33.683298,102,16.244912
34.196735,105,16.330079
32.978892,95,16.547834
30.599484,126,16.650356
42.074763,151,16.772767
24.637985,72,16.829307
32.385812,118,17.094635
22.711877,79,17.156413
32.053349,128,17.258249
23.387306,73,17.316513
42.26168,145,17.430958
28.594455,110,17.672749
19.504554,64,17.72373
28.186855,98,17.80248
40.994365,121,17.898739
27.895464,83,17.96456
25.013334,78,18.026469
30.800969,100,18.262159
29.501722,103,18.343443
37.510113,126,18.444247
35.654277,117,18.554608
38.105811,133,18.819691
30.770416,102,18.903332
32.981572,111,18.992118
30.874797,101,19.074232
33.830164,112,19.165717
30.909222,91,19.454556
40.822413,118,19.548779
33.663912,95,19.624876
35.053087,113,19.71523
30.448994,116,19.80874
29.27968,100,20.047937
30.1204,97,20.127238
45.293841,177,20.273467
21.086428,135,20.383593
57.766515,182,20.679204
27.416046,82,20.743588
60.412461,205,20.905904
34.756754,113,21.150092
19.531095,73,21.208858
33.134853,112,21.29798
46.439679,142,21.4109
33.552624,99,21.489202
40.200187,107,21.773294
29.563613,103,21.855025
12.272127,115,21.946619
44.593253,132,22.053635
43.580625,138,22.316714
34.645038,117,22.409233
32.42487,112,22.49725
42.115035,156,22.619814
36.639893,118,22.949654
41.905533,124,23.048584
33.419242,109,23.134475
31.144759,87,23.203243
42.435324,147,23.319557
32.560377,108,23.596221
31.10416,117,23.692389
33.755738,122,23.792861
32.667163,106,23.878621
31.283565,110,24.138716
38.574728,136,24.24881
30.516484,127,24.351643
40.797973,129,24.456528
26.298939,86,24.525984
41.051333,120,24.778725
40.411704,123,24.878453
39.865622,129,24.98292
26.19419,81,25.048462
23.747999,79,25.290693
27.243304,87,25.36229
29.023106,103,25.446563
27.707735,80,25.509735
24.930186,84,25.575906
32.242718,107,25.661877
44.597469,144,29.143841
30.951044,97,29.224291
33.262408,112,29.314936
26.690521,83,29.383085
33.409277,93,29.460235
28.019697,79,29.671687
31.929971,101,29.763767
38.283584,102,29.858142
30.632014,107,29.972444
29.966129,102,30.082757
26.336212,79,30.321301
29.908532,94,30.409942
35.292662,110,30.507655
20.956488,65,30.565796
29.648531,88,30.636771
36.916032,105,30.721274
25.964393,81,30.91982
34.265979,104,31.003419
33.070928,105,31.086823
27.201315,82,31.153049
25.098012,76,31.213216
27.544711,96,31.425361
39.216469,117,31.518391
32.901351,144,31.633525
37.519874,112,31.723327
25.644684,84,31.790581
39.11867,132,32.030807
31.016149,98,32.109384
31.945373,102,32.190553
34.39896,100,32.270329
23.540457,74,32.330741
19.907908,65,32.515522
32.405577,97,32.593915
27.817902,92,32.667399
26.865125,98,32.745876
28.018954,81,32.812014
29.809203,89,32.883058
33.778464,112,33.108305
27.718089,87,33.178519
35.230658,120,33.274763
32.68199,97,33.354314
29.629559,88,33.425636
36.663421,121,33.658926
30.204808,121,33.757402
31.499183,102,33.845778
42.046145,140,33.969198
28.841947,89,34.183582
42.288919,119,34.283089
29.631273,97,34.365542
20.600805,76,34.428673
32.980055,104,34.516562
26.180718,92,34.596372
31.374731,96,34.822433
35.194906,117,34.916562
37.706449,125,35.016585
33.970809,94,35.09169
37.45306,116,35.337467
27.435535,82,35.402667
33.353613,114,35.496171
30.821658,118,35.587741
41.862313,128,35.688293
20.67363,88,35.955432
34.637291,105,36.038764
40.946958,141,36.151495
37.973142,159,36.2773
27.84724,94,36.557288
59.805632,186,36.704567
31.686521,95,36.780755
35.756986,107,36.864356
31.0239,91,37.239893
40.623616,145,37.354985
29.685091,89,37.424963
26.55021,88,37.494704
20.66253,80,37.558056
37.618327,115,37.819724
29.228288,89,37.89022
29.361333,83,37.956314
26.264804,81,38.020875
39.102329,134,38.127544
62.752254,220,38.469719
30.72917,89,38.540036
28.479017,90,38.611923
37.351767,124,38.714456
30.889714,92,38.79089
38.056368,116,39.148473
20.624086,77,39.210692
43.087391,174,39.348905
27.654925,80,39.411783
35.261944,97,39.698588
25.242253,86,39.767617
23.821126,81,39.832587
28.275853,90,39.905212
37.815031,117,39.998817
29.191339,87,40.068411
52.820829,168,40.467334
22.228661,90,40.545318
25.234318,73,40.606178
7.602287,85,43.875738
29.340644,98,43.958149
27.37991,86,44.235889
25.346788,111,44.328399
28.970584,113,44.430122
27.956693,91,44.525463
21.386751,70,44.587017
26.54594,82,44.876302
22.889275,71,44.941614
41.345847,160,45.087214
34.77133,103,45.184288
43.433573,127,45.301602
29.954659,107,45.527603
50.067968,158,45.654222
35.154132,100,45.734047
37.053962,113,45.825691
23.476903,78,46.024997
32.668078,114,46.118744
30.377116,91,46.192997
23.203866,75,46.255005
41.851449,125,46.356786
30.193604,93,46.432873
40.559183,136,46.676874
30.963194,118,46.771316
26.494433,82,46.837228
31.017901,113,46.927215
24.64399,109,47.146145
29.359176,123,47.242998
29.647636,123,47.341081
24.394575,75,47.401025
30.454361,101,47.482177
27.932075,92,47.690508
30.835637,95,47.767404
37.351952,133,47.874423
33.830065,101,47.954752
28.086296,90,48.025799
38.856356,105,48.242764
23.039418,77,48.305446
41.979539,119,48.401234
32.494624,96,48.478303
35.485191,112,48.56843
24.570373,86,48.778517
42.820476,129,48.888547
25.354331,78,48.952691
33.836115,98,49.037012
35.5481,107,49.127752
18.482002,66,49.183895
21.702581,74,49.383415
30.68292,102,49.476652
30.266668,100,49.563087
39.816932,114,49.662316
38.006181,116,49.765205
27.799891,85,49.982266
26.769326,85,50.06144
32.722797,127,50.176206
26.63869,84,50.251466
24.791901,79,50.32233
18.35031,75,50.517206
32.028966,100,50.598125
40.207114,123,50.697449
38.537136,124,50.797272
38.335531,118,50.891026
32.22469,116,51.12056
41.843889,142,51.233894
35.931081,129,51.337666
22.640238,107,51.42374
24.645104,75,51.616884
45.038175,127,51.718931
43.99216,151,51.838777
28.814436,83,51.904891
20.421667,114,51.996259
25.274512,82,52.196259
33.463881,101,52.27766
28.175091,112,52.367277
27.699965,98,52.44535
36.570844,99,52.524125
28.645376,85,52.72475
30.220303,83,52.790457
32.612012,93,52.864905
32.637303,106,52.948533
32.113708,95,53.02403
26.119695,75,53.083316
32.984334,106,53.301646
47.907243,164,53.43304
34.767258,102,53.514933
25.781955,85,53.582945
29.404285,91,53.788563
31.677349,94,53.862895
38.04403,120,53.958724
21.698024,76,54.01881
24.910674,94,54.094646
28.223027,91,54.169631
37.126436,116,54.397105
38.820676,137,54.507149
21.097127,80,54.574186
32.472336,93,54.65289
24.436936,86,54.723913
22.750011,73,54.918676
27.375998,90,58.272619
34.355845,100,58.356444
25.837466,82,58.422192
37.61586,107,58.508408
35.116447,108,58.7384
38.410158,124,58.846112
38.35128,109,58.940608
28.613923,93,59.020443
33.278411,107,59.113586
27.843167,84,59.340774
28.313811,80,59.409958
29.377557,95,59.492479
43.660899,145,59.61026
25.348831,89,59.682824
34.195496,97,59.914813
36.717038,119,60.013304
31.322152,97,60.094092
30.386353,96,60.173774
30.785699,105,60.263849
26.356122,90,60.528428
23.495063,76,60.589069
32.763273,103,60.670654
32.247991,92,60.743431
27.285704,94,60.817975
22.073753,68,60.872115
26.917951,88,61.093204
21.429477,98,61.17038
30.889491,101,61.250412
28.775718,83,61.316248
41.241477,115,61.407499
30.985295,117,61.651671
32.08695,101,61.731696
23.983633,78,61.7942
32.267103,95,61.869193
26.407743,92,61.942034
27.706501,94,62.017389
39.858917,147,62.281451
33.634349,121,62.376935
31.333981,108,62.463054
34.29747,109,62.549223
39.653631,128,62.803367
32.64298,105,62.885926
31.956698,90,62.956588
39.925684,129,63.058023
49.628909,152,63.379388
38.761478,144,63.494279
42.922063,136,63.607278
32.908316,125,63.710349
27.139016,97,63.951515
23.951744,83,64.017645
24.925427,83,64.083785
23.482183,77,64.145435
25.427696,86,64.21454
29.838508,117,64.309506
33.658438,119,64.558994
35.491665,111,64.648329
27.126937,85,64.716719
21.256025,74,64.775449
46.426905,136,64.883396
34.905663,115,65.167086
27.132606,91,65.239154
35.096658,114,65.328705
27.308467,77,65.389816
27.327593,77,65.450359
37.053448,125,65.704929
31.569768,103,65.786425
21.832575,105,65.869698
51.21417,171,66.004304
41.030073,121,66.258168
35.217539,95,66.333745
33.154985,104,66.415216
30.858822,90,66.487334
23.933983,70,66.542743
27.231578,103,66.818426
29.621011,89,66.88962
32.993356,120,66.98617
31.784163,84,67.052217
37.76722,123,67.150177
24.901905,104,67.413348
31.439217,99,67.491887
31.170299,119,67.58557
38.330038,112,67.674327
27.126111,90,67.745771
25.150726,83,68.057662
39.258671,134,68.164268
29.67054,104,68.246316
23.730056,82,68.311287
32.622785,106,68.395223
34.055246,100,68.648328
36.739793,112,68.738717
39.97469,121,68.83522
26.805697,82,68.901852
31.218434,88,68.971057
19.836199,65,69.023329
30.662262,90,69.280242
23.608869,101,69.362348
25.748503,80,69.428623
31.301503,91,72.747477
35.801444,113,72.84597
39.482582,132,73.19046
25.186627,81,73.25562
29.861607,90,73.335393
33.339947,122,73.442791
25.657929,84,73.515929
29.755813,91,73.8481
31.099313,93,73.932172
36.267024,112,74.033832
37.005604,109,74.124352
28.000015,79,74.191693
28.399707,95,74.432976
27.035655,97,74.511187
25.709552,98,74.589262
31.788641,112,74.677178
29.802482,97,74.754477
23.273468,134,75.069331
27.903003,105,75.152598
24.318901,77,75.213562
38.094975,115,75.305166
35.082603,106,75.389028
35.76925,115,75.63757
30.016914,91,75.710114
30.944261,102,75.792833
24.382206,80,75.856581
28.737223,87,75.925564
26.645646,83,75.991853
28.510278,115,76.236404
39.570881,107,76.320183
28.024114,89,76.390413
27.32356,83,76.455546
25.975793,87,76.524477
44.227643,143,76.78976
36.694365,116,76.881066
28.160008,87,76.948765
28.151013,101,77.029197
26.324262,90,77.100032
24.739321,73,77.390665
37.070379,105,77.474263
27.603415,88,77.543817
32.841951,116,77.635209
34.609672,116,77.727725
36.484227,114,77.985541
33.65977,118,78.078831
33.996496,112,78.16726
27.479169,101,78.24699
22.494576,82,78.311532
35.500073,112,78.578724
25.762433,83,78.644756
32.811333,96,78.720718
25.723998,81,78.821733
38.834549,162,78.951054
29.187792,84,79.18001
36.494428,110,79.267031
25.093153,75,79.327264
32.365524,100,79.408629
24.290193,89,79.514629
23.690727,92,79.778128
46.408155,152,79.904917
35.123502,120,80.006299
24.909854,87,80.080228
33.740163,102,80.167431
31.375503,92,80.41925
28.671812,80,80.48351
38.15596,143,80.597476
29.291013,98,80.675341
34.757024,99,80.75502
35.42274,101,81.022964
26.620628,83,81.089277
27.258026,99,81.167999
31.070189,88,81.237779
25.909278,88,81.306913
25.638856,82,81.533528
29.952258,96,81.609165
22.65551,82,81.673766
33.09209,109,81.758995
37.270417,119,81.851424
40.265541,140,82.113647
39.544843,134,82.219484
41.406593,130,82.322435
23.29173,86,82.390473
39.790731,116,82.48215
27.534901,98,82.714604
32.659077,92,82.786946
29.725107,84,82.853094
24.948499,72,82.910905
32.150469,118,83.00437
22.235998,106,83.240083
27.354003,85,83.307807
28.917121,92,83.381004
36.419601,112,83.469652
38.468968,118,83.56419
35.713758,103,83.845271
34.730979,104,83.929048
43.884295,129,84.030618
25.489043,78,84.091767
31.113335,86,84.160805
25.447011,81,84.380393
36.787228,110,87.693763
30.372624,89,87.777838
31.502882,96,87.855114
45.183374,161,87.985464
35.802319,105,88.232867
32.593593,102,88.322754
32.850302,109,88.418136
44.183515,142,88.542953
35.842863,122,88.806464
40.612341,139,88.94709
27.083234,95,89.029666
29.158858,100,89.113896
32.424831,111,89.205905
44.662576,135,89.452583
20.018116,70,89.508429
32.293822,112,89.598746
29.819697,99,89.681618
31.196581,94,89.760591
28.616486,85,89.968025
32.158529,89,90.042975
34.734879,91,90.11966
40.299986,125,90.226276
28.601694,86,90.296021
32.116366,94,90.504353
20.968086,63,90.554987
31.294189,99,90.633632
23.80383,68,90.688314
34.262371,115,90.779165
40.313334,118,90.874112
35.357657,96,91.083966
29.748935,87,91.15302
24.474034,100,91.231915
29.629628,94,91.306173
84.391143,285,91.668359
23.552162,84,91.735924
34.511733,91,91.808273
29.600429,125,91.908553
27.594539,97,92.119312
28.977552,105,92.20287
29.876334,94,92.278835
40.347462,125,92.381747
43.565816,143,92.497786
33.119103,93,92.707694
31.228712,92,92.781639
26.897983,90,92.853298
30.474832,85,92.921277
33.014302,106,93.006258
33.633314,101,93.219606
30.482219,97,93.29661
27.508482,88,93.367299
20.521759,70,93.424109
19.773877,81,93.489171
30.822231,88,93.560305
29.919294,88,93.783671
31.831826,84,93.851606
28.262679,92,93.925375
24.430121,84,93.994727
32.128945,100,94.074785
27.828826,85,94.143228
27.316732,109,94.365832
25.918791,84,94.432969
20.504958,66,94.485669
31.881535,115,94.576857
52.640116,161,94.708747
23.127712,76,94.904593
32.896662,106,94.989511
33.014111,114,95.081539
37.841384,123,95.182364
37.624165,121,95.419405
29.010982,97,95.500395
32.461052,107,95.592457
25.539016,99,95.675816
27.079639,85,95.748557
32.060895,94,95.825718
22.594741,90,96.033853
23.40335,81,96.099574
27.585252,85,96.167967
31.422059,100,96.260185
40.15889,130,96.364364
25.390001,81,96.562276
31.101655,98,96.640139
27.768676,92,96.714145
39.233832,119,96.808523
22.627827,70,96.865734
29.052618,79,96.928738
32.609726,95,97.155355
24.503297,72,97.212348
32.000757,93,97.285517
22.879252,72,97.343177
28.565892,86,97.411763
34.678272,101,97.492258
42.261098,141,97.753859
24.806101,82,97.819081
38.576431,142,97.93238
27.235713,89,98.003597
37.810011,116,98.229903
35.798729,101,98.309452
21.248771,81,98.37455
32.187358,113,98.464929
35.323213,92,101.778967
20.601827,70,101.83991
49.04389,202,102.138341
