#{"t_start": 1782240047.6702332, "env_id": "Atom-v1"}
r,l,t
28.521827,92,0.225587
28.711054,96,0.304967
34.726166,116,0.402734
34.875817,99,0.487148
31.422635,98,0.575653
32.668804,92,0.655153
25.188352,87,0.732033
29.941742,88,0.809407
35.32323,126,0.919702
41.710619,151,1.050525
45.443994,139,1.170835
29.515033,93,1.246159
28.009885,84,1.312891
33.019404,100,1.393159
23.553819,75,1.453366
28.755907,85,1.520539
26.458209,82,1.585657
39.620045,144,1.712993
25.134729,83,1.779305
20.485305,66,1.832014
56.243045,181,2.282122
32.138884,103,2.363854
44.611877,124,2.464429
42.704421,134,2.573151
37.428567,102,2.655762
27.977644,103,2.740695
16.349606,56,2.785884
28.845833,90,2.857852
36.92808,115,2.951489
27.317504,86,3.020923
38.697923,132,3.127694
12.054156,116,3.221218
31.509017,110,3.30869
37.707465,108,3.395472
50.014407,148,3.513916
32.853265,89,3.584772
34.256652,101,3.664895
24.86795,80,3.72889
33.69843,120,3.824546
31.573978,88,4.164545
35.34714,134,4.271125
23.599334,88,4.340833
30.551764,85,4.408037
26.313347,91,4.479751
31.902367,107,4.56575
23.844719,85,4.632713
40.819175,136,4.74068
30.440791,82,4.805894
31.470505,102,4.886419
26.047617,76,4.946506
34.284955,102,5.027976
39.080951,143,5.141875
26.489972,86,5.210668
27.736782,106,5.295697
24.331567,108,5.382537
33.638062,98,5.460872
39.565784,144,5.577395
31.997254,98,5.654756
44.044034,130,6.02783
29.511886,91,6.099733
71.046298,259,6.308454
30.452744,97,6.38564
44.680274,126,6.486499
33.060201,100,6.566897
33.300594,91,6.641181
26.690859,88,6.711588
24.301061,86,6.778934
38.442259,118,6.874844
32.559715,95,6.950754
32.396288,107,7.03735
27.900636,93,7.112248
30.900752,93,7.185447
34.186423,128,7.28774
31.885933,111,7.375859
33.976554,104,7.458447
21.890249,67,7.512896
17.783361,56,7.557887
31.454065,99,7.638755
28.654541,76,8.005672
29.929135,97,8.086584
36.749914,127,8.192141
38.147651,135,8.299815
35.628582,118,8.393902
18.773176,119,8.488959
35.495133,103,8.570722
24.368261,77,8.632684
32.290971,100,8.712721
33.2084,120,8.808015
27.360427,78,8.87034
27.512201,108,8.956174
33.123516,112,9.047242
40.811409,113,9.138514
