#{"t_start": 1782239517.4318051, "env_id": "Atom-v1"}
r,l,t
38.847246,129,0.272995
25.443891,91,0.349782
34.601997,116,0.450824
29.629418,94,0.533436
26.067081,84,0.604465
33.713774,119,0.707818
34.516403,135,0.826512
39.812701,120,0.929867
28.191327,97,1.012386
37.56593,116,1.11605
39.005934,121,1.215321
32.387003,103,1.298651
33.622718,111,1.386607
28.084729,80,1.451278
44.566238,130,1.554349
21.502188,86,1.625451
22.928119,77,1.686201
26.932858,92,1.760951
12.864298,64,1.812866
52.044465,171,2.388496
32.844029,109,2.477657
25.383264,87,2.549131
26.456109,90,2.624479
30.155407,83,2.69324
32.150667,92,2.767955
46.39076,144,2.883259
25.847543,84,2.952643
34.842461,122,3.052427
35.433631,121,3.153163
27.958932,77,3.216036
25.873975,85,3.285418
31.376903,95,3.361297
38.427337,124,3.459951
27.328701,91,3.533972
41.868273,135,3.643662
33.127873,107,3.730258
28.086238,82,3.795416
27.904494,96,3.872201
24.426225,75,3.933342
43.781608,129,4.435123
43.696073,177,4.576738
27.325588,83,4.644056
24.33638,80,4.708425
28.182525,98,4.787845
32.044054,90,4.861316
31.288662,99,4.940552
37.783068,117,5.034367
31.056548,101,5.11505
35.631462,113,5.205166
30.355896,95,5.279675
33.7695,125,5.379075
31.889589,109,5.465932
28.821917,84,5.532735
28.246263,88,5.604504
28.477889,82,5.670462
23.240477,91,5.74416
29.025985,95,5.820506
34.179638,90,5.892691
27.754994,83,5.958738
30.669802,103,6.441339
22.228217,73,6.498857
37.486866,130,6.602187
31.613561,115,6.693544
39.467511,148,6.814109
27.238018,107,6.901012
43.131857,125,7.000559
22.784714,74,7.061101
37.377821,112,7.150481
27.892655,85,7.219647
26.514585,82,7.287023
29.017991,132,7.393791
34.50185,105,7.478904
23.858963,91,7.551954
25.259764,80,7.617502
21.401273,74,7.677458
36.999307,122,7.787486
31.055263,104,7.874914
25.139721,77,7.939371
33.625435,126,8.044271
36.066203,102,8.531178
26.202237,85,8.600065
36.186674,115,8.6912
26.792639,77,8.752428
37.256446,129,8.855424
26.404061,92,8.929121
35.034069,114,9.019377
91.015651,428,9.363009
33.346855,104,9.445613
26.459621,78,9.507113
38.58072,108,9.593922
25.753485,112,9.682756
35.12306,108,9.76799
28.532684,93,9.842178
35.410017,113,9.932902
33.608492,102,13.251257
21.486439,85,13.323875
26.211932,73,13.801
25.812405,78,13.870676
34.283558,107,13.967361
31.897753,99,14.058816
26.99318,77,14.127411
32.507322,101,14.215928
37.307739,109,14.312176
27.296501,90,14.391544
30.642111,89,14.470338
26.369366,80,14.535687
23.640319,85,14.604136
20.779491,79,14.667263
37.897778,119,14.762908
26.579606,104,14.845251
44.579525,146,14.962896
