#{"t_start": 1782240274.2627532, "env_id": "Atom-v1"}
r,l,t
34.55797,113,0.255616
53.711206,170,0.404942
31.718114,100,0.492096
31.204043,97,0.599653
29.445777,89,1.288575
27.480012,147,1.408057
48.079378,197,1.565199
29.91581,86,1.634357
36.150177,110,2.420998
41.208532,160,2.549379
22.010615,126,2.650264
32.312795,87,2.718362
27.477332,87,3.469265
23.656763,78,3.530753
51.47512,169,3.665859
26.019515,85,3.732707
24.404914,117,3.826771
43.443229,150,4.679407
43.070511,142,4.79398
35.280247,103,4.879078
27.469709,97,4.957845
29.992169,93,5.715953
32.813832,101,5.795963
42.322621,139,5.908052
42.248456,139,6.020682
26.47247,85,6.091017
32.80859,105,6.808079
25.154395,78,6.870441
41.215846,153,6.992861
19.892141,81,7.057096
32.396854,102,7.766357
20.906141,67,7.82215
24.266839,82,7.886784
24.816021,72,7.944322
29.097274,88,8.014759
52.975537,166,8.147398
25.257835,119,8.863369
28.052017,95,8.938458
26.350729,81,9.004229
25.418255,83,9.070938
22.587737,75,9.130995
29.263203,95,9.885223
64.067916,216,10.05922
27.740742,104,10.141006
35.440266,116,10.234098
30.375105,103,11.022846
30.565972,96,11.101456
32.336785,109,11.189823
24.995867,86,11.259977
27.828676,99,11.341498
30.439694,104,12.024025
27.335651,84,12.089784
30.691027,85,12.156437
28.501591,88,12.227061
36.127302,119,12.322352
37.986771,133,12.953318
36.119198,111,13.040703
34.408775,115,13.133687
26.305479,75,13.19354
28.765261,94,13.268657
36.359164,125,13.894085
22.020183,73,13.952631
29.673836,101,14.033436
39.002773,136,14.14205
28.101737,92,14.215485
29.565509,87,14.285417
28.700276,91,14.879187
27.045458,80,14.943316
33.949537,102,15.024501
35.471202,146,15.139843
19.396686,61,15.188072
32.929155,107,15.806116
41.809948,127,15.91002
30.02138,88,15.981358
26.274714,84,16.049848
33.909121,108,16.138274
27.300633,87,16.746209
41.417418,145,16.866196
28.748864,100,16.949236
35.934975,106,17.035158
34.840439,106,17.120374
25.614575,101,17.722204
38.881962,121,17.818857
26.065302,89,17.890558
26.985096,81,17.954295
36.490551,115,18.045591
32.258029,106,18.646735
38.732827,119,18.741588
29.574696,85,18.810096
55.724474,181,18.954729
35.70547,116,19.569237
31.81266,90,19.641789
46.935439,145,23.04278
30.151782,98,23.131145
39.101488,141,23.803044
29.99957,103,23.892852
23.668281,67,23.950484
40.048574,131,24.066103
31.306234,91,24.147488
26.555778,84,24.758264
33.55478,105,24.842902
27.091475,81,24.907462
34.769027,111,24.997593
40.112739,159,25.129393
28.887136,95,25.764066
25.552715,84,25.831511
41.903619,136,25.940644
41.55883,128,26.043884
28.816066,105,26.129074
32.81032,116,26.851311
27.946565,78,26.914485
47.797345,133,27.022777
38.838147,159,27.154083
28.097546,100,27.908439
31.723047,110,27.998391
37.477754,130,28.101191
29.428719,83,28.168669
26.20897,82,28.233857
30.968814,88,29.062558
26.962808,85,29.130359
38.062547,140,29.242491
23.271078,104,29.326218
39.051869,124,29.424437
26.965403,94,30.12668
33.963128,112,30.217839
20.640869,84,30.285697
30.612523,107,30.372702
27.907245,89,30.444913
36.878044,117,31.179643
26.933105,96,31.256333
35.268869,113,31.347646
32.841898,114,31.440532
29.733176,91,31.513927
32.855454,116,32.146628
46.843608,165,32.277436
22.626219,96,32.353801
35.154132,102,32.435934
20.663979,82,33.030483
36.28178,118,33.125274
34.579068,111,33.214255
37.122678,131,33.319197
46.38906,145,33.953393
47.407986,166,34.087217
32.034291,115,34.179701
32.551423,96,34.256677
28.067448,99,34.336388
27.025092,117,34.94976
25.116328,100,35.029901
33.889771,117,35.124535
29.796096,96,35.201667
28.99411,84,35.268823
27.506582,81,35.856003
43.982156,153,35.98648
35.819515,128,36.09333
33.38392,97,36.178481
39.451464,155,36.872661
33.345796,117,36.967407
25.855202,78,37.029473
41.963939,137,37.138676
31.542958,101,37.740612
36.838338,114,37.831657
34.10831,135,37.93906
15.214751,82,38.00403
29.738577,100,38.084186
32.209438,109,38.694359
33.93861,97,38.771393
29.594016,88,38.844936
35.477374,106,38.931782
29.914323,92,39.004926
26.758496,89,39.076127
25.393919,81,39.66163
28.306754,81,39.725255
28.316694,77,39.788105
18.922678,107,39.876973
37.990388,119,39.979282
22.032075,79,40.584817
30.272551,106,40.669359
46.72357,141,40.788211
23.622752,75,40.850515
22.802832,72,40.91043
39.541419,122,41.557291
18.814418,82,41.622819
33.953397,100,41.702047
30.394386,85,41.769215
37.257938,117,41.863226
37.624855,117,42.47518
