timesteps,mean_reward,std_reward,best_reward_so_far
5000,-101.18108459999999,155.60928051229718,-101.18108459999999
10000,77.21971999999998,6.127432604713755,77.21971999999998
15000,-485.0624522,129.00304592447677,77.21971999999998
20000,83.03525139999999,8.126666498111526,83.03525139999999
25000,82.1298414,0.7879162173177022,83.03525139999999
30000,-3.0329709999999976,53.40551924295946,83.03525139999999
35000,93.01720480000002,0.8648239784128138,93.01720480000002
40000,87.210654,0.5899968779466563,93.01720480000002
45000,77.7380446,1.5483718562036208,93.01720480000002
50000,86.52590640000001,0.9984494117693861,93.01720480000002
55000,77.35164259999999,1.7101911406805501,93.01720480000002
60000,53.3374338,12.508136632405249,93.01720480000002
65000,57.0067586,2.2821164003836962,93.01720480000002
70000,80.1323742,2.441031320969022,93.01720480000002
75000,45.529413,24.189202001762435,93.01720480000002
80000,74.7224186,5.642014568469972,93.01720480000002
85000,-28.886386599999998,158.25966320567818,93.01720480000002
90000,62.996806199999995,35.170168987191275,93.01720480000002
95000,42.1561698,9.369837693628282,93.01720480000002
100000,36.519604599999994,25.70175090680078,93.01720480000002
105000,23.990374000000003,24.381839976489175,93.01720480000002
110000,40.1367134,54.98484158740036,93.01720480000002
115000,18.9950452,40.54207611316344,93.01720480000002
120000,2.0258348000000006,29.001483173726108,93.01720480000002
125000,18.962813,30.62644464868097,93.01720480000002
130000,20.950105,46.35563996389529,93.01720480000002
135000,78.9936132,13.334377188190146,93.01720480000002
140000,95.63525340000001,7.653055918743323,95.63525340000001
145000,89.3627292,11.028573425922785,95.63525340000001
150000,90.7882816,12.100984755619463,95.63525340000001
155000,102.8965274,21.14917207941246,102.8965274
160000,83.1423274,29.41590943834882,102.8965274
165000,98.89327019999999,5.593902520710903,102.8965274
170000,97.6416336,9.382383372805327,102.8965274
175000,84.3677208,10.82867025835212,102.8965274
180000,82.2299764,12.38952104968862,102.8965274
185000,71.636664,27.60104718212929,102.8965274
190000,89.13177720000002,15.212008753078095,102.8965274
195000,75.2150968,32.88057426847292,102.8965274
200000,77.46085980000001,27.908097058352762,102.8965274
205000,75.4559218,21.73831079143547,102.8965274
210000,73.2041338,17.7343524745003,102.8965274
215000,93.4920576,7.586531341105384,102.8965274
220000,79.88086720000001,19.111188396396898,102.8965274
225000,85.01340079999999,22.214291170272055,102.8965274
230000,79.34947220000001,13.225671186998705,102.8965274
235000,82.1860406,14.523947227913114,102.8965274
240000,68.1592944,18.448918278882356,102.8965274
245000,93.4715326,8.147953459797952,102.8965274
250000,64.5840346,16.66566079340992,102.8965274
255000,83.05398840000001,6.462903827931667,102.8965274
260000,88.5664404,11.2302041438182,102.8965274
265000,85.7381848,11.157587329851765,102.8965274
270000,90.5906554,17.882826591004296,102.8965274
275000,84.2025048,10.667485157100177,102.8965274
280000,44.765575,86.05290233233305,102.8965274
285000,79.4509178,27.766525024598856,102.8965274
290000,95.8120274,28.185307926046995,102.8965274
295000,89.8435652,10.946370754561247,102.8965274
300000,78.72340140000001,13.092296079785298,102.8965274
305000,78.40422679999999,15.8860315507896,102.8965274
310000,87.893228,9.071922778247995,102.8965274
315000,81.5737138,11.442666799447853,102.8965274
320000,77.47999899999999,7.592134563823377,102.8965274
325000,68.39801460000001,13.397480659534564,102.8965274
330000,64.5956704,11.171747599410212,102.8965274
335000,79.5548274,16.479203917825515,102.8965274
340000,78.5951682,8.091479757686262,102.8965274
345000,67.10988660000001,5.003163210009028,102.8965274
350000,73.3988104,11.088945946682104,102.8965274
355000,73.5520808,3.2959251858927496,102.8965274
360000,76.14735859999999,11.515179933939905,102.8965274
365000,59.47548379999999,28.003959512316463,102.8965274
370000,70.478332,6.63191495589586,102.8965274
375000,66.949133,9.651347440294478,102.8965274
380000,72.4880674,10.996363602311423,102.8965274
385000,70.9857136,17.438709262149988,102.8965274
390000,61.6273722,17.04906520569322,102.8965274
395000,82.5422832,16.000070888777426,102.8965274
400000,64.4830618,23.7500658091314,102.8965274
405000,66.29005620000001,18.921047421229495,102.8965274
410000,80.7506738,7.963063781297082,102.8965274
415000,73.7552852,14.349797134576871,102.8965274
420000,82.85258000000002,6.289476613599864,102.8965274
425000,62.9280264,16.993669711993448,102.8965274
430000,72.1628942,16.123173019557317,102.8965274
435000,78.8185812,12.364646905078633,102.8965274
440000,96.6734108,7.106024291125533,102.8965274
445000,92.181185,7.727364847141411,102.8965274
450000,83.94593239999999,16.461939034574044,102.8965274
455000,73.3289776,29.814260954961433,102.8965274
460000,77.2084794,26.537596859379956,102.8965274
465000,68.91858220000002,17.94462612700974,102.8965274
470000,78.30940299999999,24.607491059515457,102.8965274
475000,75.6975138,18.800410448937562,102.8965274
480000,67.3228282,26.580030538136437,102.8965274
485000,53.38334580000001,37.35866795181128,102.8965274
490000,64.5649132,30.25952509303376,102.8965274
495000,86.0117802,14.930422161817066,102.8965274
500000,88.6743128,10.716205480756278,102.8965274
505000,66.22687599999999,23.514068900545144,102.8965274
510000,57.35877519999999,40.94582510787854,102.8965274
515000,52.051654199999994,43.819063472392116,102.8965274
520000,38.5892966,33.58499894813962,102.8965274
