timesteps,mean_reward,std_reward,best_reward_so_far
5000,66.2738222,18.8047429520705,66.2738222
10000,82.8029258,3.0404642682447984,82.8029258
15000,78.107422,3.2019722882019446,82.8029258
20000,59.77628059999999,3.013817119147583,82.8029258
25000,62.3053952,12.013433878034078,82.8029258
30000,-227.0908566,269.6142925622826,82.8029258
35000,-193.95591020000003,312.3848351280121,82.8029258
40000,-210.39411920000003,174.44930750770948,82.8029258
45000,-96.3518422,162.66666011949204,82.8029258
50000,-208.4260084,270.60360106705025,82.8029258
55000,-65.1666104,148.12615416349212,82.8029258
60000,-203.23379260000002,233.28224467748203,82.8029258
65000,-616.300935,32.80860918274076,82.8029258
70000,-645.941531,26.44280731572841,82.8029258
75000,-615.5895812,58.38966005048142,82.8029258
80000,-118.28401579999999,158.23254645786267,82.8029258
85000,-109.127396,262.54799188577203,82.8029258
90000,-376.424574,205.47885216549125,82.8029258
95000,-332.9732428,300.8553570351767,82.8029258
100000,-59.833123,173.21207313691846,82.8029258
105000,-142.0417372,210.3218130872685,82.8029258
110000,-220.9935708,288.2829188759189,82.8029258
115000,-164.5412732,203.87674395703743,82.8029258
120000,-131.50565079999998,141.76436136644358,82.8029258
125000,92.33449340000001,23.107095056097805,92.33449340000001
130000,-76.7622848,270.3168657408471,92.33449340000001
135000,38.94842920000001,99.87221868517986,92.33449340000001
140000,40.9522382,38.81133769994418,92.33449340000001
145000,50.4297152,36.6439797431188,92.33449340000001
150000,48.861089,25.33955549214628,92.33449340000001
155000,85.9827396,12.979321733264179,92.33449340000001
160000,41.4421732,27.558328474781582,92.33449340000001
165000,40.058806399999995,33.82047076940974,92.33449340000001
170000,-2.688204800000001,61.22096097894962,92.33449340000001
175000,-23.286869199999998,127.52243167519809,92.33449340000001
180000,45.44741200000001,33.560118100581235,92.33449340000001
185000,43.98244999999999,29.066502838489615,92.33449340000001
190000,55.121103600000005,30.282042942814265,92.33449340000001
195000,52.084863199999994,81.10605775713711,92.33449340000001
200000,86.23111060000001,2.8885699679506165,92.33449340000001
