#{"t_start": 1782241343.7613094, "env_id": "Atom-v1"}
r,l,t
32.748103,100,0.255708
31.91514,110,0.344206
28.372307,95,0.425537
40.541824,179,0.584647
25.872802,98,0.672815
36.116709,121,0.784168
27.644158,89,0.868382
23.414778,75,0.939468
35.044264,105,1.040649
23.578423,74,1.11291
22.606503,71,1.175281
37.107836,121,1.277586
25.126063,75,1.339211
31.067519,105,1.424011
30.561054,121,1.527004
33.578411,107,1.622909
31.577916,90,1.699793
27.091447,87,1.775789
31.740968,80,1.84429
28.675398,92,1.924694
28.139711,88,2.351647
29.004727,98,2.439278
30.11035,102,2.52737
31.780121,100,2.614739
27.175995,86,2.6891
24.736043,78,2.753321
18.113926,61,2.822213
42.948381,128,2.953592
23.801471,80,3.035886
34.120585,115,3.140219
26.638573,92,3.226392
35.953889,124,3.330783
32.94293,114,3.427495
36.658156,114,3.523656
27.65742,94,3.604458
30.943209,117,3.704763
46.22962,122,3.819272
30.443351,90,3.8976
25.593941,74,3.960368
41.636028,137,4.076724
36.024689,108,4.522135
43.113611,145,4.649278
36.231477,133,4.76657
30.251494,105,4.855972
24.271014,71,4.918548
34.191656,109,5.063086
31.469689,103,5.151025
34.320043,108,5.246494
52.016386,181,5.402032
28.624449,89,5.476706
41.381761,126,5.582573
29.469116,96,5.662277
22.977282,91,5.738702
35.409191,118,5.846362
45.081266,122,5.949608
45.739619,190,6.115217
23.383083,79,6.181476
41.526254,124,6.286133
26.753102,121,6.815559
26.887337,101,6.903878
41.13022,126,7.008557
30.793426,98,7.09193
31.642261,96,7.171266
24.663419,85,7.244409
33.344206,107,7.336564
51.843783,179,7.487935
34.138528,101,7.575524
25.401417,77,7.64004
26.862096,87,7.713661
52.69362,164,7.845917
40.145013,138,7.964631
40.274886,132,8.085053
20.849921,72,8.145857
35.466373,118,8.254793
26.926212,84,8.332933
30.043127,86,8.414711
54.520944,169,8.888368
39.73535,118,8.985211
24.714563,81,9.051936
24.841907,85,9.125911
22.845357,120,9.242776
36.658435,134,9.360675
48.959231,202,9.522235
38.315434,110,9.612901
39.741324,102,9.700694
30.70767,98,9.784123
31.170115,111,9.880741
28.219918,98,9.966634
30.56651,95,10.050916
32.307033,99,10.139729
31.280165,99,10.225845
18.739961,70,10.286957
37.735728,129,10.413717
32.019984,93,13.913933
46.878383,127,14.022775
26.987108,92,14.587193
47.649834,150,14.717497
26.687381,86,14.793927
46.107189,156,14.945471
58.629751,200,15.149544
32.450577,106,15.243835
28.108844,90,15.321831
26.203981,98,15.406372
24.612582,108,15.499649
34.332444,109,15.592685
41.3272,125,15.738835
18.726862,94,15.819189
33.92839,117,15.915359
29.834747,151,16.038943
39.528221,141,16.154665
32.649701,105,16.240805
46.779103,132,16.35186
31.772958,106,16.821078
49.668502,166,16.960763
30.590241,94,17.038221
55.997026,202,17.210221
25.571006,77,17.281604
26.812191,98,17.374779
29.828945,103,17.475118
41.609761,145,17.604816
48.078127,141,17.749467
23.731256,80,17.815984
37.965915,131,17.92338
38.68189,137,18.037552
28.306161,93,18.11587
28.287309,87,18.188065
28.623966,84,18.256948
38.728586,124,18.359691
29.697465,118,18.457039
30.180233,100,18.889687
30.875596,102,18.974734
45.02583,136,19.09213
31.953361,96,19.179563
31.059279,97,19.265596
34.904354,105,19.354519
36.448866,128,19.466641
32.721098,92,19.54815
25.118716,85,19.623769
31.519987,106,19.717777
31.728923,138,19.83906
41.041899,113,19.935672
30.691381,95,20.017287
44.024256,142,20.13628
28.076711,102,20.220941
30.892986,97,20.305613
34.756963,103,20.395139
24.453958,91,20.473967
32.409423,106,20.564651
39.153012,118,21.057076
31.73398,104,21.139708
30.948249,94,21.215921
42.517236,135,21.323924
26.664537,119,21.422099
25.701331,88,21.493469
28.148102,89,21.565266
20.806463,66,21.618923
22.833037,103,21.702445
24.03049,71,21.760412
35.699084,99,21.839797
24.792413,72,21.897769
27.13895,95,21.973337
31.2747,100,22.053603
33.997982,127,22.161789
28.426976,93,22.238669
23.649919,84,22.308157
30.48391,93,22.385818
37.179082,124,22.494716
24.964188,95,22.572762
27.990258,79,22.636417
27.669471,101,23.173956
24.45407,82,23.243185
40.861919,118,23.340422
30.35799,93,23.417235
26.948285,97,23.497216
30.535712,110,23.586962
31.136373,93,23.662076
25.532923,90,23.734462
14.117,98,23.814423
26.051094,82,23.881189
32.092134,101,23.963395
28.792462,93,24.038969
30.50686,108,24.126983
24.278057,82,24.193872
25.125772,71,24.251757
