#{"t_start": 1782239916.6824465, "env_id": "Atom-v1"}
r,l,t
36.567555,119,0.323916
31.92862,91,0.401799
30.06494,91,0.480385
25.235084,88,0.556932
21.481093,66,0.615082
42.264407,125,0.724321
30.306656,92,0.803429
27.123955,80,0.873972
35.499329,135,0.99171
22.776332,95,1.072196
46.587956,157,1.200495
35.763227,116,1.293078
35.20982,158,1.418125
33.87618,101,1.498433
19.797176,80,1.562234
35.495484,105,1.64484
24.145666,70,1.699894
23.166573,83,1.765306
37.335117,108,1.852591
22.534422,108,2.30401
33.905698,95,2.380101
29.390057,90,2.450585
34.395121,107,2.534897
44.976139,152,2.656346
34.65398,108,2.743617
34.578937,102,2.824398
26.907355,86,2.892365
33.625192,93,2.966863
32.308539,114,3.05758
53.735476,172,3.196211
28.334543,127,3.297817
80.920553,273,3.516901
31.972793,101,3.598553
34.898536,113,3.69038
34.254334,102,3.773316
25.555915,89,3.845344
28.278799,87,3.914987
25.29441,75,4.319278
36.050351,101,4.399796
43.753178,137,4.510342
19.67725,59,4.557981
33.180623,106,4.643604
33.831321,114,4.734514
34.48751,110,4.822345
24.150181,90,4.894859
31.436354,99,4.973749
23.825302,96,5.051559
34.473778,114,5.144673
32.299819,118,5.240139
22.495067,75,5.300638
38.949831,110,5.388656
41.068767,122,5.488329
30.888627,97,5.567533
37.014828,129,5.675684
33.920357,114,5.771397
22.545426,87,5.844381
30.72802,100,5.9259
26.925126,84,6.336003
35.310219,108,6.422534
35.970753,108,6.507334
48.993485,133,6.612432
29.527727,89,6.683746
30.272644,106,6.767841
25.119398,85,6.835747
25.918661,88,6.906362
41.858176,137,7.015852
23.023001,77,7.076814
24.397556,72,7.135198
30.409057,103,7.217191
35.593811,154,7.340852
35.963805,105,7.424968
27.39181,86,7.495454
32.954525,129,7.600151
30.338714,92,7.674199
30.020193,94,7.7493
47.099227,164,7.882362
51.064608,169,8.352237
32.3227,96,8.429592
41.234593,133,8.536161
33.692727,119,8.630384
32.896586,108,8.717232
38.219617,121,8.813649
36.297965,192,8.969107
32.588106,120,9.065187
24.380713,86,9.134028
24.620618,127,9.236031
29.721363,93,9.310784
31.516314,109,9.398474
20.888004,67,9.451497
32.936813,100,9.531011
29.198299,91,9.60311
34.545177,98,9.681834
31.2685,119,12.946939
28.449254,82,13.01618
27.241069,84,13.593957
30.275298,98,13.682398
30.031397,94,13.765849
47.775506,151,13.904482
55.7878,179,14.067365
36.08221,121,14.176726
29.217376,92,14.252346
15.658079,90,14.32559
35.829023,116,14.420254
32.245105,104,14.507711
34.46454,107,14.594644
21.025539,77,14.657064
31.572236,86,14.726583
32.985866,108,14.812771
34.762677,116,14.906731
25.609221,74,14.965547
28.691585,106,15.050975
27.192636,135,15.160754
