#{"t_start": 1783984279.7746265, "env_id": "Atom-v1"}
r,l,t
40.464698,93,1.038724
13.859126,75,1.126956
39.230662,111,1.259495
34.795687,102,1.37719
17.598226,91,1.481258
29.721507,96,1.831813
26.256219,92,1.938098
19.35977,89,2.044101
82.240239,131,2.19422
25.660828,90,2.299537
5.761888,70,2.620892
34.2984,101,2.7426
13.039302,74,2.82749
44.27592,97,2.941403
90.500915,157,3.124025
64.041968,113,3.496229
34.654964,105,3.620031
47.591203,105,3.743615
56.647104,130,3.897139
30.743791,87,4.016372
12.178357,77,4.357828
16.514422,93,4.464218
-10.502868,68,4.543866
-8.306112,66,4.621
16.09157,76,4.706435
5.393205,82,4.803348
53.404875,110,5.169599
26.69788,90,5.277889
45.279614,107,5.405156
24.258318,94,5.513893
18.838765,88,5.618522
36.298689,99,5.735207
21.948533,87,6.080291
47.279979,114,6.212141
24.020182,87,6.313499
15.707521,90,6.414151
-14.372402,71,6.496366
32.6843,94,6.841278
59.788019,114,6.974976
29.410458,92,7.083631
40.580544,97,7.196289
-9.854405,66,7.275195
50.097547,108,7.404456
42.714276,130,7.79921
-3.27377,71,7.880718
8.118786,80,7.973869
38.372152,109,8.108996
38.793851,97,8.223938
66.074586,135,8.625216
28.666844,89,8.729138
-6.97586,68,8.809792
29.916307,86,8.906986
54.394209,101,9.028062
23.718693,91,9.379706
1.440158,69,9.460507
28.212279,85,9.559736
28.408245,88,9.668123
8.618053,73,9.751324
31.409995,88,9.853786
65.113163,129,10.246595
70.378493,130,10.399533
-6.720606,65,10.474117
27.418918,105,10.594311
5.948991,80,10.688576
150.823413,186,11.145928
41.381754,104,11.270335
22.845481,92,11.378241
9.669207,79,11.471863
60.228409,111,11.598077
59.086488,111,11.965978
37.623304,96,12.079149
10.580038,82,12.176271
35.338594,105,12.297246
13.519425,80,12.394642
20.365307,92,12.744244
50.541673,104,12.868653
67.908594,114,13.004925
46.918806,98,13.120192
73.205521,124,13.267443
94.795744,158,13.696154
18.366415,78,13.791464
52.577377,111,13.919433
63.686131,135,14.078235
-1.625906,70,14.1588
26.343805,94,14.511854
51.324605,109,14.641508
80.129196,151,14.823744
44.14057,111,14.948434
24.422846,97,15.304394
21.631644,79,15.394926
13.477924,75,15.481786
10.765609,82,15.575217
-2.033379,66,15.655428
49.083031,113,15.782864
-6.707229,67,16.110538
63.440665,121,16.255647
24.177283,94,16.368317
48.079134,100,16.487594
32.506887,94,16.592225
53.779271,146,17.000505
65.961886,158,17.188471
61.526393,113,22.374347
-10.890203,65,22.447732
26.989737,83,22.545243
17.883562,82,22.877219
26.494046,96,22.99273
46.092738,100,23.113258
-8.821787,62,23.185331
38.646393,101,23.30122
6.845429,78,23.389337
90.045216,158,23.811657
72.336759,144,23.977778
9.698256,109,24.105342
18.991806,105,24.229341
27.129804,92,24.570113
47.602305,100,24.689977
70.474821,133,24.847074
92.069687,144,25.010952
17.860322,87,25.350117
133.216089,193,25.580375
20.037404,98,25.692928
-1.438172,73,25.776219
49.011441,103,25.895218
71.870898,129,26.2925
135.733344,200,26.528287
53.506622,117,26.664676
8.040465,78,26.754903
11.572486,83,27.150749
29.154138,105,27.272764
5.418469,73,27.360538
51.82048,118,27.493941
0.012885,66,27.574332
-8.520267,73,27.658728
-0.004422,75,27.987838
47.833594,109,28.116192
25.786572,95,28.225828
31.849625,86,28.325769
52.451796,114,28.464088
-8.934993,70,28.783433
20.4801,102,28.907443
37.468837,101,29.026701
40.725565,102,29.149786
35.064097,93,29.258049
79.368982,147,29.678438
16.854012,86,29.780459
35.577502,105,29.902535
32.615662,102,30.022709
55.377379,114,30.162148
25.967648,98,30.523597
22.024338,104,30.649153
45.112945,105,30.778453
29.382894,110,30.905748
47.904406,103,31.021487
46.936059,109,31.393727
22.602266,101,31.511419
29.065907,97,31.631993
50.449682,118,31.770935
2.883647,72,31.851563
16.755847,87,32.202178
29.085468,88,32.304041
10.703044,76,32.391917
30.841121,99,32.511308
73.606537,118,32.655708
21.622698,83,32.750498
50.500692,105,33.110638
10.891459,82,33.209488
25.667021,103,33.331958
28.830233,86,33.431283
53.906971,104,33.557584
77.451942,135,33.955415
15.370256,79,34.043202
59.380172,117,34.179116
-8.087454,72,34.261004
8.15505,92,34.376495
27.799945,98,34.733767
38.3319,103,34.855293
24.316849,92,34.965624
29.370512,91,35.069086
28.277104,104,35.191482
66.102362,123,35.616934
10.655557,93,35.723598
48.893352,127,35.875299
26.110784,96,35.988751
27.003764,105,36.111579
66.803933,129,36.502373
15.668935,89,36.604434
48.52545,110,36.730634
12.405328,89,36.837062
-0.846548,73,36.919336
7.998085,74,37.006359
32.194761,92,37.354424
48.98363,130,37.508497
59.715684,126,37.660295
21.401074,87,37.760591
33.411618,96,38.273113
12.800315,81,38.369441
3.293173,79,38.460875
19.498276,94,38.5736
-1.325914,67,38.65244
2.211256,85,38.75255
47.755295,107,39.113375
126.639938,199,44.7278
41.520507,99,44.842993
158.960949,210,45.327508
37.481078,127,45.475894
98.839561,152,45.655471
115.898733,161,45.84362
30.220449,97,46.200677
83.841556,149,46.379932
28.326867,92,46.484553
52.39823,121,46.629964
9.890159,77,46.726103
79.965492,177,47.175348
13.674095,83,47.26753
106.065426,142,47.435136
62.365681,128,47.586513
39.745868,135,47.989784
2.11564,81,48.083364
1.294606,83,48.185397
26.261679,94,48.293859
18.288795,85,48.392826
2.307291,70,48.714774
43.571274,128,48.872685
32.491943,103,48.993587
-12.167909,83,49.091995
-4.921549,95,49.201257
32.891928,96,49.553236
15.346263,81,49.654263
46.615675,109,49.783814
19.317585,77,49.876458
30.757925,105,50.001066
63.872995,118,50.144493
30.561636,100,50.508231
17.107369,95,50.624525
55.934596,117,50.767971
-12.162964,66,50.844004
49.154436,112,50.977162
55.48137,107,51.347691
15.373119,78,51.44052
8.285905,73,51.527445
21.833419,78,51.619276
6.877784,81,51.716111
7.377201,100,51.832026
36.275475,96,52.184344
100.86643,198,52.421329
2.002273,87,52.52188
45.513952,107,52.647769
105.030626,180,53.106707
47.322072,115,53.241639
42.720522,111,53.370522
59.163875,120,53.510699
-4.196952,82,53.846879
41.506928,110,53.976404
26.1609,98,54.094487
-8.085642,64,54.169574
26.13549,85,54.270087
29.241232,98,54.386384
14.335956,89,54.734541
0.586695,81,54.831544
76.931511,132,54.987095
1.80523,88,55.087905
-0.683651,72,55.171916
14.723798,86,55.510596
17.712093,80,55.602886
54.459339,117,55.742073
45.894411,108,55.866229
21.308863,89,55.971977
29.097516,105,56.339108
14.538378,92,56.448217
9.356581,73,56.535229
44.639973,107,56.664983
37.568572,99,56.78512
15.641169,83,56.879658
24.008826,90,57.222556
27.329119,95,57.334404
25.630149,96,57.445082
23.284197,91,57.54884
16.29625,90,57.654001
24.818709,115,58.03635
57.729553,105,58.166559
33.513626,100,58.284137
24.163657,84,58.382066
26.363171,93,58.493455
36.420156,109,58.618182
24.998249,124,59.012304
50.90982,119,59.153645
19.15638,88,59.255471
86.282048,152,59.431539
38.696178,117,59.812795
20.709406,78,59.904114
35.264455,120,60.043622
97.99283,176,60.253634
30.843606,95,60.600622
53.915488,122,60.74421
116.569088,170,63.739066
23.18931,83,63.841131
19.973988,94,63.951143
55.455585,114,64.336239
51.76813,119,64.482605
18.277544,96,64.594746
84.837128,136,64.763129
80.537825,155,65.188443
20.709676,100,65.3104
30.039132,116,65.444611
67.461987,127,65.596817
4.896499,71,65.924985
55.337642,115,66.061068
23.325025,92,66.173241
41.04033,101,66.291928
45.11724,112,66.423776
18.046168,83,66.520472
17.071191,96,66.876625
39.792302,117,67.017617
34.895982,121,67.157331
57.137657,134,67.317008
6.159453,84,67.827358
55.249715,121,67.969734
201.992057,243,68.260574
119.735988,204,68.746605
78.577112,141,68.92246
134.275276,189,69.142733
-14.429853,58,69.211353
30.531172,103,69.572771
18.142623,86,69.675191
53.171616,127,69.828169
18.899215,75,69.913189
-20.349314,79,70.005264
6.232249,80,70.333589
29.720157,106,70.459939
136.482772,189,70.67892
4.474648,75,70.767894
26.409125,93,70.879604
64.0536,115,71.268784
56.978019,115,71.406612
26.718794,93,71.51573
67.576735,139,71.68058
91.25401,153,72.271536
21.313853,83,72.367254
43.235633,109,72.495228
66.113531,127,72.641285
31.618085,100,72.756576
110.527095,173,73.201341
72.012724,129,73.356326
25.614265,89,73.45883
10.793842,86,73.558354
8.845775,77,73.879413
26.635704,84,73.979679
28.513211,86,74.078757
19.711872,99,74.191459
140.705791,207,74.428177
54.207918,126,74.815784
57.628307,150,75.001335
128.396476,192,75.224544
60.793697,133,75.618368
68.321463,168,75.82209
112.543167,170,76.019347
35.45365,108,76.149969
-3.0,97,76.497459
39.75938,97,76.609491
43.253732,116,76.748323
61.516026,159,76.935408
15.3677,85,77.26993
66.184009,125,77.415049
46.359186,145,77.582345
62.563825,133,77.735501
16.807583,101,78.094009
54.207271,114,78.22649
116.231867,187,78.443699
50.062878,113,78.572346
26.033687,96,78.921105
54.928336,112,79.055243
114.086199,199,79.284491
34.296739,96,79.394879
57.602748,124,79.772758
64.12211,121,79.921161
27.773769,93,80.030008
-2.225824,73,80.113755
103.67213,187,80.568283
55.858379,117,85.751073
91.785895,139,85.911206
92.43501,151,86.087538
0.006732,100,86.439839
13.824751,86,86.542437
2.038639,102,86.66046
10.307105,80,86.753936
19.990643,100,86.869583
36.780546,107,87.009272
10.211754,84,87.355699
5.0046,74,87.444565
54.594354,130,87.601276
26.292253,106,87.723422
45.113436,113,87.855405
85.22683,139,88.259431
62.181292,127,88.409198
15.860454,95,88.518598
32.068894,98,88.62972
4.372439,74,88.719795
42.956121,114,89.090635
39.259161,124,89.240679
52.86591,123,89.389211
66.990619,141,89.551255
47.166033,114,89.924263
42.123047,142,90.088636
18.894418,90,90.194381
97.148752,142,90.362698
49.296606,130,90.752408
25.835588,97,90.864321
25.828792,96,90.97895
20.630063,88,91.082575
73.892702,173,91.52037
68.902032,116,91.654664
65.646167,117,91.794836
-17.0,83,91.889031
15.008396,115,92.024912
70.349017,125,92.41943
