#{"t_start": 1782240587.9367862, "env_id": "Atom-v1"}
r,l,t
29.571105,106,0.365008
28.733656,79,0.432013
27.350887,88,0.509585
36.223495,122,0.61816
15.223547,128,0.727713
29.76308,87,0.806509
32.397408,117,0.910103
29.324403,99,0.99853
28.007964,82,1.071986
21.645239,83,1.14149
28.845219,89,1.819427
25.719232,97,1.900277
33.534599,95,1.980715
27.477859,81,2.049291
34.806808,116,2.147785
25.966358,82,2.216282
32.28586,102,2.303587
29.086242,97,2.384349
23.769277,77,2.44679
37.763351,132,2.553967
32.179407,108,3.393424
35.618308,113,3.485742
28.352394,88,3.558539
41.000786,174,3.7014
36.090678,97,3.779494
28.730963,102,3.863722
31.322539,91,3.936764
41.124018,169,4.073087
39.538566,136,4.183839
32.244298,111,4.955098
27.57837,88,5.025485
42.400357,125,5.126682
31.470492,93,5.201562
30.281505,101,5.283302
31.182185,109,5.370354
32.569403,88,5.440974
28.11275,92,5.513994
36.557495,100,5.594481
19.437692,70,5.651647
43.997428,135,6.435435
37.292497,115,6.528494
29.338445,86,6.59716
57.873441,226,6.778506
28.997531,91,6.853022
33.545213,96,6.930606
26.111564,85,6.99811
35.791687,118,7.092233
26.461105,86,7.161434
35.37392,106,7.903566
35.222891,109,7.990182
29.72252,88,8.060217
28.165292,79,8.123462
29.110826,101,8.203336
36.566387,118,8.297121
40.003649,125,8.395937
24.060222,85,8.462475
32.671314,113,8.55311
27.89383,96,8.629706
21.748427,95,9.397991
27.294555,88,9.467989
21.005045,73,9.525254
40.897483,124,9.623671
30.295984,84,9.690144
26.276666,76,9.750475
35.95628,127,9.85098
27.885083,98,9.930006
29.018915,91,10.001714
28.717475,92,10.075263
31.934063,95,10.15091
36.251639,118,10.869559
29.072099,112,10.959392
42.876673,142,11.072698
28.120649,92,11.148217
35.164415,117,11.244933
26.771866,84,11.313176
31.858062,104,11.397756
29.47447,94,11.47463
31.148785,93,11.548643
32.986212,96,11.625449
25.388045,80,12.443547
25.939234,89,12.524291
39.955597,128,12.633896
27.170374,89,12.704229
30.44553,105,12.788771
29.820743,97,12.86597
27.666619,87,12.935499
35.421328,105,13.019997
41.936292,134,13.127981
42.3535,147,14.053052
29.044197,93,14.126089
40.110082,122,14.222579
25.184429,81,14.287092
24.00269,77,14.348862
27.93777,87,14.419251
43.696635,163,14.549718
21.340486,66,14.601281
59.533357,178,17.955896
25.87792,79,18.022103
32.086946,96,18.852215
30.354766,88,18.930984
19.60353,81,19.00383
26.43642,114,19.105723
42.040379,136,19.224422
35.287997,99,19.306426
30.18446,103,19.389836
30.813962,96,19.468044
27.06756,97,19.548719
37.450367,141,19.66485
34.990891,110,20.40534
47.497712,138,20.51596
30.593818,93,20.589726
27.492335,89,20.661782
26.055979,93,20.737521
31.799705,127,20.838113
21.017958,68,20.892999
21.854244,74,20.953541
26.546944,87,21.024591
35.12434,97,21.103573
26.190384,98,22.015843
26.074387,85,22.084584
21.174685,75,22.144642
32.451755,149,22.264489
22.290662,84,22.332505
37.650726,112,22.421428
26.18024,85,22.489643
22.903038,78,22.552304
22.237723,71,22.608541
55.175985,179,22.754122
17.631909,127,23.541604
34.257285,105,23.626974
24.360001,75,23.688591
26.757308,81,23.754804
37.393183,125,23.858066
20.719148,82,23.923977
26.014741,83,23.990272
31.76889,118,24.083571
32.505972,114,24.174419
33.52589,92,24.247317
44.526488,137,25.082241
15.998788,113,25.171922
28.57266,86,25.239647
39.779325,141,25.351864
41.983642,149,25.472449
35.935168,92,25.548126
28.271448,100,25.627412
28.920623,113,25.717881
30.887463,103,25.799667
28.714174,86,25.868006
33.491532,114,26.572001
24.954993,80,26.637172
16.121152,61,26.687127
45.326928,131,26.795324
34.15702,111,26.887052
31.490749,98,26.96605
26.869681,82,27.032807
31.825226,105,27.117029
26.786879,95,27.193933
27.328289,92,27.267426
46.911491,137,28.023347
24.720678,78,28.084196
50.445595,172,28.222584
28.901488,97,28.300066
33.506184,94,28.374818
34.826504,112,28.464893
30.192211,99,28.544465
31.852285,97,28.621013
31.640991,92,28.695666
34.818689,101,28.776696
24.135822,155,29.652335
27.690554,126,29.751977
29.177549,96,29.827564
17.974661,68,29.88115
33.344933,108,29.965039
37.439656,126,30.065454
29.299076,88,30.135753
22.679635,85,30.202715
32.62047,98,30.281678
26.505893,80,30.345378
41.447955,112,31.083893
24.331104,76,31.144487
42.550249,141,31.255821
34.755799,103,31.340597
28.715107,90,31.412274
28.35836,86,31.481467
35.857754,130,31.587141
29.677933,98,31.666449
33.900676,103,31.749509
29.419831,118,32.597974
23.169615,76,32.659373
29.037307,94,32.736356
35.364768,120,32.834886
26.194979,84,32.903218
25.578726,81,32.970696
33.027526,137,36.308179
24.693936,80,36.376137
26.124195,101,36.455744
32.599333,108,36.541576
28.487439,86,36.610602
34.814384,129,37.675035
26.187398,88,37.748741
29.963902,92,37.825365
22.786904,77,37.889377
42.055757,162,38.044599
33.399836,98,38.12438
29.85152,94,38.199502
22.901029,71,38.257232
32.159305,113,38.349014
19.649609,97,38.426754
24.498831,79,39.183191
33.924966,108,39.269338
24.579373,76,39.329908
27.484559,111,39.417433
33.25861,93,39.491765
36.506213,109,39.579259
22.144812,110,39.665825
33.418435,105,39.749232
22.464982,88,39.819206
18.734466,90,39.891603
27.970463,89,39.961472
27.410707,85,40.649313
25.865446,98,40.729275
27.175814,85,40.79794
28.952704,93,40.872475
36.969708,118,40.966165
26.377972,82,41.031655
29.634923,98,41.109503
31.88544,103,41.192195
17.839423,63,41.243616
32.607873,89,41.316316
15.865305,70,41.373742
29.383589,81,42.14046
34.32712,100,42.219275
27.853354,105,42.303739
20.362492,71,42.36043
28.193787,76,42.420486
37.950738,116,42.511684
36.980975,115,42.602496
27.050127,88,42.672766
29.458059,87,42.742469
25.670255,82,42.808646
25.374364,83,42.873896
30.278244,91,43.548858
26.355655,114,43.639997
28.277269,93,43.713997
28.120005,77,43.775293
23.488386,72,43.832325
30.034274,91,43.905081
33.484707,103,43.987166
32.455937,107,44.072779
27.204616,95,44.148448
25.817477,89,44.219048
27.314748,80,44.282883
23.331843,86,45.195698
25.023506,76,45.25726
22.22306,79,45.320703
28.774616,99,45.400116
27.154259,83,45.467105
27.647925,92,45.541329
28.640203,81,45.607594
22.767647,85,45.674758
55.949985,161,45.804911
19.644974,62,45.854647
37.264249,107,45.941109
26.776613,77,46.002212
24.764908,77,46.66705
28.55484,86,46.736862
41.245707,142,46.857921
40.207417,127,46.969813
23.705217,71,47.031416
29.874712,92,47.10639
19.414246,69,47.161261
22.888031,82,47.226888
27.760797,84,47.294455
37.373019,119,47.390052
34.161599,95,47.998532
43.723808,133,48.105721
28.842337,91,48.179978
35.539403,110,48.268592
20.392468,76,48.328601
35.693498,131,48.432323
36.410976,106,48.515916
32.249234,98,48.594108
31.987443,97,48.672162
23.327587,110,48.760372
28.441523,93,49.360434
29.854692,98,49.438607
36.949334,116,49.530412
36.059714,110,49.617821
37.496378,185,49.764989
22.036075,72,49.822047
27.291456,90,49.895051
31.232432,111,49.982872
38.032509,108,50.068868
33.769141,109,50.156855
21.871905,87,50.754395
20.207385,72,50.812448
28.276569,80,50.877947
54.880526,158,54.269213
25.599504,84,54.340373
30.324003,172,54.480814
31.604969,103,54.564536
24.258819,85,54.632739
24.613571,93,54.711027
27.473145,95,55.804322
29.530368,93,55.878212
35.217387,131,55.982506
26.991209,89,56.053506
20.350996,127,56.154102
24.321885,77,56.215558
33.28222,96,56.292782
33.488837,102,56.373031
32.491713,95,56.448441
37.045186,113,56.538161
31.310525,102,57.299675
21.416955,109,57.385262
24.316788,75,57.444494
24.458438,69,57.498928
27.797436,95,57.574247
43.445993,129,57.676978
32.070668,112,57.774782
31.670774,87,57.844655
24.53267,83,57.913122
26.92711,86,57.982397
32.697461,104,58.065989
46.643679,137,58.899541
27.151972,78,58.96207
37.887905,104,59.045642
33.232103,102,59.126664
31.783459,122,59.224557
33.671047,95,59.30044
28.528198,84,59.367661
30.21472,90,59.438653
31.195461,143,59.553294
31.086534,84,59.620301
27.377596,80,60.339499
26.723858,104,60.422222
32.242307,91,60.495313
31.927031,100,60.576022
40.320186,145,60.690155
22.139929,74,60.748493
31.519539,89,60.819425
21.206927,69,60.875395
24.972802,117,60.972034
24.058427,80,61.035405
40.204539,119,61.131989
33.662407,119,62.042135
26.797706,81,62.10567
26.37612,109,62.192695
27.508674,79,62.256514
33.040797,99,62.334676
32.810769,108,62.421831
24.769073,76,62.483105
33.291111,97,62.561894
20.598625,70,62.618158
30.716241,98,62.698466
31.083361,97,62.776649
24.777431,88,63.654107
23.405535,73,63.711796
33.684483,106,63.797589
30.498865,103,63.879389
37.728389,113,63.970294
19.377759,65,64.022227
28.59568,79,64.085592
25.296813,85,64.152656
36.356027,124,64.250432
30.150213,86,64.318111
25.415845,75,64.377205
31.349339,86,65.253379
35.789409,102,65.335313
42.060891,130,65.437655
25.963619,77,65.499877
21.996199,71,65.555643
21.609926,83,65.621366
37.897974,126,65.72281
41.462677,124,65.822331
21.545319,92,65.894786
29.394467,80,65.958607
40.194288,124,66.769228
29.195508,85,66.837473
21.792122,72,66.895538
24.23896,85,66.965383
25.593974,75,67.025949
30.448017,97,67.103441
33.893046,100,67.181909
29.285143,97,67.259228
32.532473,93,67.333614
32.920308,96,67.411479
28.156124,86,67.480834
28.703228,95,67.557457
29.816802,103,68.411441
40.557467,118,68.506138
26.842829,92,68.581415
37.319002,124,68.681433
29.02158,83,68.747101
37.044294,141,68.860583
16.90535,67,68.913846
21.301047,62,68.964087
38.305941,111,69.052508
18.606315,66,69.105779
23.291275,79,69.920213
32.411052,103,70.344523
29.08349,86,70.418415
29.028375,88,70.49097
29.493037,87,70.561556
22.011328,68,70.616389
23.516949,71,70.673648
17.766356,74,70.73322
32.365526,102,70.818297
29.699971,77,70.886394
30.188408,83,70.960288
38.193917,119,71.066009
24.241589,105,71.767985
25.493577,100,71.852289
35.512891,147,71.973427
23.374707,69,72.02924
31.837313,99,72.110532
27.429127,89,72.18771
42.541216,142,72.310106
23.025051,93,72.391686
22.335442,68,72.450578
25.699622,85,72.524672
27.028792,85,73.130087
20.849791,77,73.192862
33.128471,93,73.267774
28.829934,80,73.334334
31.85844,94,73.411201
32.612467,107,73.496552
31.399645,110,73.58547
19.475296,72,73.643938
33.931155,107,73.728698
33.327212,119,73.826407
30.359557,86,73.89608
31.389565,84,74.489707
31.880133,95,74.565674
30.714317,92,74.639
23.41164,80,74.702822
22.818319,79,74.766046
33.286186,116,74.859047
28.025537,102,74.942261
41.18757,120,75.039399
46.464105,152,75.167248
29.783352,95,75.244116
28.588746,88,75.847821
24.026219,87,75.92002
20.977057,67,75.97357
15.520819,77,76.035876
32.286961,89,76.111062
43.589858,142,76.236062
38.371442,110,76.330362
21.701694,64,76.386962
30.607769,102,76.476043
27.025934,92,76.555982
34.571184,101,76.640594
26.285613,82,77.314232
24.890308,78,77.376496
33.844415,101,77.456188
25.971776,81,77.52104
21.372343,64,77.571875
37.860181,120,77.667795
31.610009,103,77.751353
32.459378,99,77.83139
27.419763,86,77.90046
31.625298,105,77.983048
24.955168,77,78.04408
33.278965,108,78.660335
34.005647,93,78.735647
35.705243,113,78.825807
27.651918,113,78.91679
30.000885,91,78.990149
36.731355,130,79.093262
30.124321,101,79.173872
25.739675,77,79.235546
25.968214,91,79.308998
30.751407,80,79.374075
22.791432,70,79.429998
44.107858,129,80.056909
17.908942,84,80.123908
26.356952,90,80.196537
32.352464,98,80.273746
26.924283,85,80.342618
22.275697,74,80.402106
24.659543,80,80.466309
35.299569,106,80.550417
29.165954,83,80.617926
25.819564,84,80.685465
32.48159,101,80.767301
30.038088,110,81.388745
19.750822,77,81.466805
42.984957,113,81.564427
35.299162,99,81.652073
30.459591,106,81.743365
12.630412,94,81.822566
34.500128,109,81.911548
24.930278,82,81.978478
31.771773,110,82.0669
32.704883,93,82.14298
27.586777,77,82.205024
21.553229,71,82.789383
23.496936,71,82.846801
27.725157,89,82.918342
32.129996,97,82.996111
31.489702,94,83.071038
25.146916,74,83.131161
21.392731,69,83.186149
27.643436,101,83.269066
20.986711,61,83.320043
34.445931,107,83.406798
35.180835,106,83.835556
21.153654,71,83.896176
24.502302,77,84.52401
35.782579,112,84.625421
18.658875,67,84.68358
36.142694,109,84.781797
29.224225,94,84.866462
21.28419,71,84.929247
26.444877,85,85.006703
25.02752,87,85.081679
22.308552,69,85.139173
28.422775,105,85.224142
25.557404,84,85.293154
26.527814,95,85.369212
25.532718,94,85.974841
31.030167,96,86.053288
27.020873,84,86.121289
27.941698,79,86.185007
25.177337,79,86.249126
27.381623,74,86.310246
29.404623,92,86.386624
32.013236,86,86.457738
44.476676,138,86.572011
30.516378,87,86.64271
26.84369,82,86.716962
30.090562,85,87.457017
38.184993,101,87.538612
22.871012,102,87.620742
29.074277,111,87.710687
26.29272,93,87.786969
38.202687,115,87.879469
43.289663,131,87.98467
26.997658,92,88.058618
25.80429,80,88.122742
34.333458,107,88.20954
33.792537,110,89.044767
37.374561,132,89.149118
34.084507,95,89.223477
32.670496,90,89.295411
27.848548,92,89.367811
27.99328,82,89.432744
19.774971,83,89.497225
19.606066,73,89.555061
22.341493,78,89.618198
29.864893,91,89.691057
38.387085,124,89.792314
20.727091,70,90.482755
29.031758,80,90.546329
31.172428,97,90.623911
21.168056,104,90.706787
26.267497,78,90.769476
37.812411,114,90.860391
32.821091,100,90.940547
28.69059,86,91.011763
36.354025,123,91.112417
22.059312,71,91.170106
26.82869,83,91.238237
25.839808,85,91.980371
29.194405,102,92.06165
30.808051,109,92.148814
26.582643,95,92.224999
24.25741,76,92.284834
30.121305,92,92.357422
25.044998,84,92.4235
29.050063,101,92.504238
31.415671,103,92.586943
24.194238,75,92.646938
40.126729,116,92.738507
22.281926,79,93.630736
29.348164,100,93.710162
33.305383,112,93.799291
35.969074,107,93.88296
26.968946,82,93.949557
39.439891,120,94.044139
32.896378,95,94.121039
22.155468,81,94.18576
26.350035,79,94.248995
25.982195,85,94.317324
27.245629,86,94.385942
30.949054,82,95.11522
36.531822,114,95.206212
26.254671,85,95.2734
34.340407,104,95.355731
35.768263,114,95.446221
30.50918,96,95.522506
42.371293,127,95.624568
33.611311,105,95.708497
26.403919,88,95.778132
25.566832,71,95.834678
22.809247,81,96.55633
31.180611,96,96.634781
54.388624,158,96.763467
36.071871,105,96.854192
31.126744,90,96.933428
24.813415,83,97.001819
34.675754,106,97.087422
37.291406,110,97.177002
31.591721,96,97.255043
32.71781,103,97.337391
30.389661,102,97.942925
41.862681,119,98.037427
33.311581,94,98.112304
27.462954,80,98.175232
24.741265,86,98.243749
29.665773,96,98.32129
29.148877,89,98.393141
24.720068,75,98.788927
19.039434,59,98.841866
33.766762,100,98.923568
34.591271,91,98.997854
46.116432,157,99.716174
33.20199,100,99.805174
28.853741,90,99.883862
40.122159,117,99.98896
36.080443,104,100.077273
33.193226,92,100.150583
25.453827,75,100.210569
25.961495,92,100.285363
27.422736,92,100.358234
17.841614,64,100.40955
39.024252,119,100.504775
26.895048,78,101.08965
41.853927,123,101.190159
28.225166,91,101.263325
38.244794,119,101.36084
30.96039,101,101.44398
27.894106,94,101.521719
31.978978,96,101.599297
31.364879,101,101.68244
22.534833,77,101.74576
20.894939,75,101.80747
36.470858,118,102.427898
47.129206,146,102.545124
37.029434,111,102.635583
36.775967,108,102.722397
31.616594,101,102.80577
35.435392,116,102.900086
22.823494,77,102.96133
33.852429,101,103.042865
22.320968,127,103.145561
20.430963,62,103.194922
21.329106,69,103.772745
32.557858,92,103.847013
29.558773,100,103.926014
30.917923,105,104.011279
30.358241,97,104.090103
21.614907,84,104.157306
29.199459,88,104.22743
26.666372,96,104.305413
28.543106,96,104.383402
30.522414,83,104.450369
24.404077,70,104.506794
34.61446,107,105.116867
22.718426,108,105.202678
23.936827,77,105.264422
25.045542,82,105.329415
31.051573,91,105.401764
29.825761,97,105.478471
29.367687,85,105.547917
36.494011,110,105.635092
31.510534,86,105.703131
24.3982,72,105.760106
34.732979,103,105.843059
26.263315,89,105.914309
29.005816,101,106.518364
24.661319,84,106.585738
53.359668,164,106.71807
39.815306,121,106.814287
36.232518,128,106.919719
30.954319,84,106.98754
36.853254,113,107.080853
29.866983,100,107.1634
33.83563,104,107.248376
25.005967,95,107.96495
22.94086,80,108.029084
27.479335,83,108.097155
20.938795,66,108.14923
31.461208,108,108.237004
44.668131,213,108.408187
28.908968,82,108.473732
30.942667,82,108.539897
24.06277,79,108.603937
19.464891,131,108.707215
22.749495,76,109.490647
38.308824,115,109.582822
29.16718,96,109.658585
23.906471,75,109.717867
42.098125,124,109.818362
32.707906,88,109.887942
21.904785,70,109.943626
34.90689,116,110.036824
29.369252,88,110.106218
23.073691,74,110.164232
19.632828,72,110.221872
23.185437,73,110.933134
33.240581,105,111.017953
35.093241,131,111.127162
20.574478,64,111.179181
29.418392,84,111.247994
27.297185,88,111.318907
29.83844,99,111.400148
26.182174,77,111.462963
15.906232,60,111.512217
27.344698,99,111.594321
32.862124,103,111.682458
35.442308,102,111.775278
35.866953,107,112.617847
31.264207,89,112.689518
28.640298,96,112.766631
43.51844,142,113.225305
37.838137,112,113.321204
27.177986,107,113.40659
31.193383,87,113.475914
30.408541,101,113.557001
19.832342,66,113.608881
26.564623,72,113.667582
19.489721,66,114.802717
25.932562,82,114.869656
34.097752,96,114.946766
32.39992,87,115.020652
32.211573,95,115.097379
33.320669,98,115.176593
18.081526,64,115.230178
37.492421,115,115.323744
27.723398,76,115.386363
23.473585,85,115.454925
28.641741,111,115.544468
30.315115,104,116.408464
32.871734,96,116.486276
41.985484,153,116.609445
29.38016,113,116.701637
31.155296,84,116.770116
35.610004,100,116.851633
34.653766,114,116.94389
23.107717,77,117.005392
32.663901,96,117.081808
31.427394,97,117.159984
26.347779,86,117.969193
28.210639,86,118.0385
