#{"t_start": 1782238678.1445565, "env_id": "Atom-v1"}
r,l,t
37.762763,130,0.379513
29.837262,96,0.455915
35.045136,100,0.776236
38.354756,121,0.87206
41.055609,141,1.218193
32.139386,89,1.289277
28.947705,80,1.35334
29.605933,106,1.687755
28.204523,82,1.753403
27.774773,94,2.065358
34.872101,107,2.149482
36.690374,109,2.236575
25.40575,83,2.535724
26.448168,85,2.603818
32.825142,98,2.684227
24.631869,99,2.997512
41.265539,139,3.109356
42.637674,138,3.453248
31.141617,100,3.53316
39.314784,143,3.8926
23.520964,71,3.948742
27.229776,96,4.24292
28.894066,92,4.315502
23.855784,74,4.374002
34.22038,118,4.698595
19.756982,79,4.776329
28.564383,90,4.848697
33.156754,106,5.202114
32.363243,108,5.287756
26.678904,107,5.643946
30.551199,88,5.713408
37.933629,149,5.832257
35.816616,117,6.215833
26.849216,110,6.301928
31.344471,108,6.62622
22.716776,85,6.694654
25.980814,89,6.765471
44.455675,126,7.089739
54.506127,188,7.568263
35.820735,107,7.656404
29.834796,104,7.739669
35.74321,110,8.110787
30.148528,109,8.197981
29.392946,103,8.50266
26.256375,88,8.572007
23.828669,73,8.629002
27.991225,99,8.949508
27.294471,87,9.019327
44.903353,137,9.367226
33.548539,107,9.451984
31.21314,140,9.814732
31.810507,100,9.894436
24.259482,110,9.98125
19.095978,62,10.290928
28.01245,83,10.357453
36.613433,120,10.452318
38.011433,128,10.776354
31.12976,131,10.880108
31.510148,97,11.180042
40.48182,122,11.278801
35.400046,109,11.564479
28.145784,85,11.631658
32.352768,91,11.706264
28.224649,93,11.97345
28.358797,83,12.040454
30.335267,99,12.319575
22.719921,67,12.373555
36.408585,102,12.456249
24.097956,83,12.722331
30.136663,82,12.787446
21.242344,88,12.859929
41.028125,141,13.173743
28.909537,103,13.255312
27.728612,83,13.322164
36.133974,103,13.602492
37.802775,116,13.695963
30.414369,77,13.952565
40.14111,131,14.056793
27.204807,82,14.121611
38.220086,123,14.41311
27.116082,86,14.482132
28.77185,90,14.75222
29.700081,96,14.84307
25.133924,92,14.916633
38.905788,117,15.205233
30.337042,92,15.27806
20.743281,78,15.33908
30.704264,94,15.609594
17.751055,88,15.679332
30.41118,101,15.95874
27.059733,88,16.030883
25.56784,78,16.095372
45.132261,144,16.406365
46.467874,146,16.522538
27.53713,84,16.786016
26.649012,74,16.845538
26.443384,99,16.925319
30.674901,97,17.645645
31.047032,104,17.732071
33.308864,102,18.018244
31.542055,84,18.087225
30.02642,90,18.160762
19.501853,78,18.418985
37.978515,114,18.512243
